By ^in++++=By
integrating ^xvbg+++xvbg+=integrating
these ^dt+dem+++=these
discourses ^nns++++=discourses,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
demonstrated ^vbd+vprv++xvbn+=demonstrated,
, ^zz++++=EXTRAWORD
Scholz ^np+++??+=Scholz
contends ^vbz+vpub+++=contends
that ^tht+vcmp+++=that
a ^at++++=a
paradigm ^nn++++=paradigm
shift ^nn++++=shift
in ^in++++=in
military ^jj+atrb+++=military
spending ^nvbg+++xvbg+=spending
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary
for ^in++++=for
Germany ^np++++=Germany
to ^to++++=to
attain ^vbi++++=attain
a ^at++++=a
level ^nn++++=level
of ^in++++=of
military ^jj+atrb+++=military
capability ^nn+nom+++=capability
commensurate ^jj++++=commensurate
with ^in++++=with
its ^pp$+it+++=its
significance ^nn+nom+++=significance
in ^in++++=in
Europe ^np++++=Europe.
. ^zz++++=EXTRAWORD
In ^in++++=In
his ^pp$+pp3+++=his
proposals ^nns+nom+++=proposals,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
shift ^nn++++=shift
would ^md+prd+++=would
result ^vb++++=result
in ^in++++=in
a ^at++++=a
defense ^nn+++??+=defense
budget ^nn++++=budget
positioning ^nn++++=positioning
Germany ^np++++=Germany
as ^in++++=as
the ^ati++++=the
third ^od++++=third-largest
- ^zz++++=EXTRAWORD
largest ^jjt+atrb+++=EXTRAWORD
global ^jj+atrb+++=global
defense ^nn+++??+=defense
spender ^jjr++++=spender,
, ^zz++++=EXTRAWORD
following ^jj+++xvbg+=following
the ^ati++++=the
United ^np++++=United
States ^nns++++=States
and ^cc++++=and
China ^np++++=China.
. ^zz++++=EXTRAWORD
The ^ati++++=The
discourse ^nn++++=discourse
framing ^vwbg+++xvbg+=framing
Germany ^np++++=Germany
as ^in++++=as
a ^at++++=a
military ^jj+atrb+++=military
power ^nn++++=power
is ^vbz+bez+aux++=is
also ^rb++splt++=also
characterized ^vpsv++by+xvbnx+=characterized
by ^in++++=by
centripetal ^jj+atrb+++=centripetal
tendencies ^nns++++=tendencies
through ^in++++=through
processes ^nns+nom+++=processes
of ^in++++=of
naturalization ^nn+nom+++=naturalization
( ^zz++++=(Baxter,
baxter ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
171 ^cd++++=171;
; ^zz++++=EXTRAWORD
Deetz ^np+++??+=Deetz,
, ^zz++++=EXTRAWORD
1992 ^cd+date+++=1992):
) ^zz++++=EXTRAWORD
: ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
asserted ^vpsv++agls+xvbnx+=asserted
that ^tht+vcmp+++=that
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
other ^ap++++=other
response ^nn++++=response
to ^in++++=to
arms ^nns++++=arms
delivery ^nn+nom+++=delivery,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
clear ^vb++++=clear
increased ^vbd+++xvbn+=increased
defense ^nn+++??+=defense
spending ^vwbg+++xvbg+=spending
is ^vbz+bez+aux++=is
required ^vpsv++agls+xvbnx+=required,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
Nato ^np++++=NATO
must ^md+nec+++=must
remain ^vb++++=remain
strong ^jj++++=strong
to ^to++++=to
safeguard ^vbi++++=safeguard
German ^jj+atrb+++=German
freedom ^nn+nom+++=freedom
and ^cc++++=and
democracy ^nn+nom+++=democracy
in ^in++++=in
the ^ati++++=the
future ^jjb++++=future,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
legitimizing ^jj+++xvbg+=legitimizing
these ^dt+dem+++=these
measures ^nns++++=measures
by ^in++++=by
invoking ^xvbg+++xvbg+=invoking
concerns ^nns++++=concerns
about ^in++++=about
potential ^jj+atrb+++=potential
future ^jjb+atrb+++=future
threats ^nns++++=threats
( ^zz++++=(Reyes,
reyes ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
Germany ^np++++=Germany
s ^zz++++=s
influential ^jj+atrb+++=influential
role ^nn++++=role
within ^in++++=within
the ^ati++++=the
European ^jj+atrb+++=European
Union ^nn++++=Union,
, ^zz++++=EXTRAWORD
Scholz ^np+++??+=Scholz
presents ^vbz++++=presents
this ^dt+dem+++=this
perceived ^jj+atrb++xvbn+=perceived
threat ^nn++++=threat
as ^ql++++=as
not ^xnot++not++=not
only ^rb+down+++=only
relevant ^jj++++=relevant
to ^in++++=to
Germany ^np++++=Germany
but ^cc++++=but
also ^rb++++=also
expects ^vbz++++=expects
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
europe ^np++++=Europe
to ^to++++=to
adopt ^vbi++++=adopt
a ^at++++=a
similar ^jj+atrb+++=similar
paradigm ^nn++++=paradigm
shift ^nn++++=shift.
. ^zz++++=EXTRAWORD
