Among ^in++++=Among
the ^ati++++=the
adolescents ^nns++++=adolescents
who ^whp+rel+subj++=who
changed ^vbd+++xvbn+=changed
their ^pp$+pp3+++=their
study ^nn++++=study
intentions ^nns+nom+++=intentions
to ^in++++=to
health ^nn++++=health
sciences ^nns+nom+++=sciences
as ^in++++=as
a ^at++++=a
result ^nn++++=result
of ^in++++=of
the ^ati++++=the
pandemic ^jj++++=pandemic
( ^zz++++=(28%),
28% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
26 ^cd++++=26%
% ^zz++++=EXTRAWORD
also ^rb++++=also
reported ^vbd+vpub++xvbn+=reported
an ^at++++=an
improved ^jj+atrb++xvbn+=improved
perception ^nn+nom+++=perception
of ^in++++=of
health ^nn++++=health
care ^nn++++=care
workers ^nns+nom+++=workers
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Subtopic ^np+++??+=Subtopic
1.4 ^cd++++=1.4).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
among ^in++++=among
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
shifted ^vprf+++xvbn+=shifted
their ^pp$+pp3+++=their
study ^nn++++=study
intentions ^nns+nom+++=intentions
to ^in++++=to
science ^nn+nom+++=science
fields ^nns++++=fields,
, ^zz++++=EXTRAWORD
including ^in++++=including
natural ^jj+atrb+++=natural
sciences ^nns+nom+++=sciences,
, ^zz++++=EXTRAWORD
mathematics ^nn++++=mathematics,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
statistics ^nns++++=statistics
( ^zz++++=(23%),
23% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
15 ^cd++++=15%
% ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=reported
an ^at++++=an
improved ^jj+atrb+++=improved
perception ^nn+nom+++=perception
of ^in++++=of
scientists ^nns+nom+++=scientists
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
subtopic ^np++++=Subtopic
1.3 ^cd++++=1.3).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
