Meanwhile ^rb+cnj+++=Meanwhile,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
entities ^nns+nom+++=entities
consolidated ^vwbn+++xvbn+=consolidated
their ^pp$+pp3+++=their
dominance ^nn+nom+++=dominance
in ^in++++=in
the ^ati++++=the
manufacturing ^jj+++xvbg+=manufacturing
of ^in++++=of
products ^nns++++=products
derived ^vbd+++xvbn+=derived
from ^in++++=from
these ^dt+dem+++=these
raw ^jj+atrb+++=raw
materials ^nns+nom+++=materials,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
a ^at++++=a
current ^jj+atrb+++=current
market ^nn++++=market
environment ^nn+nom+++=environment
where ^wrb+who+++=where
the ^ati++++=the
likelihood ^nn+nom+++=likelihood
of ^in++++=of
Latin ^jj+atrb+++=Latin
American ^jj+atrb+++=American
industries ^nns++++=industries
competing ^vwbg+++xvbg+=competing
effectively ^rb++++=effectively
with ^in++++=with
established ^vbn+vprv++xvbn+=established
firms ^nns++++=firms
in ^in++++=in
Europe ^np++++=Europe,
, ^zz++++=EXTRAWORD
North ^nr+pl+++=North
America ^np++++=America,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
Asia ^np++++=Asia
is ^vbz+bez+vrb++=is
minimal ^jj+pred+++=minimal.
. ^zz++++=EXTRAWORD
The ^ati++++=The
prospect ^nn++++=prospect
of ^in++++=of
a ^at++++=a
Latin ^jj+atrb+++=Latin
American ^jj+atrb+++=American
entrepreneur ^nn+++??+=entrepreneur
successfully ^rb++++=successfully
challenging ^jj+atrb++xvbg+=challenging
major ^jj+atrb+++=major
corporations ^nns+nom+++=corporations
such ^abl++++=such
as ^ql++++=as
Ford ^np++++=Ford,
, ^zz++++=EXTRAWORD
Toyota ^np+++??+=Toyota,
, ^zz++++=EXTRAWORD
Monsanto ^np+++??+=Monsanto,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
Basf ^np+++??+=BASF,
, ^zz++++=EXTRAWORD
even ^rb++++=even
within ^in++++=within
their ^pp$+pp3+++=their
own ^ap++++=own
national ^jj+atrb+++=national
markets ^nns++++=markets,
, ^zz++++=EXTRAWORD
appears ^vbz+seem+++=appears
highly ^rb+amp+++=highly
improbable ^jj++++=improbable.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
remains ^nns++++=remains
clear ^jj++++=clear
that ^tht+jcmp+++=that
the ^ati++++=the
region ^nn++++=region
must ^md+nec+++=must
pursue ^vb++++=pursue
continued ^jj+atrb++xvbn+=continued
economic ^jj+atrb+++=economic
development ^nn+nom+++=development.
. ^zz++++=EXTRAWORD
The ^ati++++=The
question ^nn+nom+++=question,
, ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
how ^wrb+who+++=how
this ^dt+dem+++=this
objective ^nn++++=objective
can ^md+pos+++=can
be ^vb+be+aux++=be
achieved ^vbd+++xvbn+=achieved.
. ^zz++++=EXTRAWORD
