Localities ^nns+nom+++=Localities:
: ^zz++++=EXTRAWORD
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
( ^zz++++=(SP),
sp ^&fo++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Cear ^np+++??+=Cear
( ^zz++++=(CE),
ce ^&fw++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Amap ^np+++??+=Amap
( ^zz++++=(AP)
ap ^&fw++++=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(Campi
campi ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013b ^cd++++=2013b;
; ^zz++++=EXTRAWORD
campi ^np++++=Campi
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
