Some ^dti++++=Some
species ^nn++++=species
do ^vb+do+aux++=do
not ^xnot++not++=not
provide ^vb+vsua+++=provide
benefits ^nns++++=benefits
to ^in++++=to
any ^dti++++=any
of ^in++++=of
their ^pp$+pp3+++=their
interaction ^nn+nom+++=interaction
partners ^nns+nom+++=partners
and ^cc++++=and
rely ^vb++++=rely
exclusively ^rb++++=exclusively
on ^in++++=on
cheating ^xvbg+++xvbg+=cheating
interactions ^nns+nom+++=interactions
( ^zz++++=(Bronstein
bronstein ^nn+++??+=EXTRAWORD
2001 ^cd++++=2001).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
hypothesize ^vb++++=hypothesize
that ^tht+vcmp+++=that
species ^nns++++=species
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
exclusive ^jj+atrb+++=exclusive
cheaters ^nns+nom+++=cheaters
may ^md+pos+++=may
amplify ^vb++++=amplify
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
cheating ^xvbg+++xvbg+=cheating
interactions ^nns+nom+++=interactions,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
greater ^jjr+atrb+++=greater
impacts ^nns+++??+=impacts
on ^in++++=on
trait ^nn++++=trait
distributions ^nns+nom+++=distributions
than ^in++++=than
those ^dt+dem+++=those
observed ^jj+++xvbn+=observed
in ^in++++=in
simulations ^nns+nom+++=simulations
where ^wrb+who+++=where
the ^ati++++=the
same ^ap++++=same
number ^nn++++=number
of ^in++++=of
cheating ^xvbg+++xvbg+=cheating
interactions ^nns+nom+++=interactions
are ^vb+ber+aux++=are
randomly ^rb++splt++=randomly
distributed ^vpsv++agls+xvbnx+=distributed
across ^in+pl+++=across
all ^abn++++=all
ecological ^jj+atrb+++=ecological
interactions ^nns+nom+++=interactions
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
previous ^jj+atrb+++=previous
set ^nn+++xvbn+=set
of ^in++++=of
simulations ^nns+nom+++=simulations).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
further ^jjb++++=further
expect ^vb+vprv+++=expect
that ^tht+vcmp+++=that
this ^dt+dem+++=this
effect ^nn++++=effect
will ^md+prd+++=will
be ^vb+be+vrb++=be
more ^ql++++=more
pronounced ^jj+++xvbn+=pronounced
if ^cs+cnd+++=if
the ^ati++++=the
exclusive ^jj+atrb+++=exclusive
cheater ^jjr+atrb+++=cheater
species ^nn++++=species
are ^vb+ber+aux++=are
highly ^rb+amp+splt++=highly
connected ^vpsv++agls+xvbnx+=connected
or ^cc+phrs+++=or
occupy ^vb++++=occupy
central ^jj+atrb+++=central
positions ^nns+nom+++=positions
within ^in++++=within
the ^ati++++=the
network ^nn++++=network
structure ^nn++++=structure.
. ^zz++++=EXTRAWORD
To ^to++++=To
investigate ^nn+nom+++=investigate
the ^ati++++=the
influence ^nn+nom+++=influence
of ^in++++=of
these ^dt+dem+++=these
exclusive ^jj++++=exclusive,
, ^zz++++=EXTRAWORD
highly ^rb+amp+++=highly
connected ^vbd+++xvbn+=connected
cheater ^jjr+atrb+++=cheater
species ^nns++++=species
on ^in++++=on
coevolutionary ^nn+nom+++=coevolutionary
outcomes ^nns+++??+=outcomes,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
identified ^vbd+++xvbn+=identified
the ^ati++++=the
most ^ql+emph+++=most
connected ^jj+atrb++xvbn+=connected
species ^nns++++=species
in ^in++++=in
the ^ati++++=the
network ^nn++++=network
and ^cc++++=and
designated ^jj+++xvbn+=designated
them ^pp3o+pp3+++=them
as ^cs+sub+++=as
exclusively ^rb++++=exclusively
involved ^vbd+++xvbn+=involved
in ^in++++=in
cheating ^xvbg+++xvbg+=cheating
interactions ^nns+nom+++=interactions.
. ^zz++++=EXTRAWORD
Degree ^nn++++=Degree
centrality ^nn+nom+++=centrality
( ^zz++++=(Newman
newman ^np++++=EXTRAWORD
2018 ^cd++++=2018),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
standardized ^nn++++=standardized
measure ^vb++++=measure
of ^in++++=of
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
interactions ^nns+nom+++=interactions
a ^at++++=a
species ^nn++++=species
has ^vbz+hvz+vrb++=has
within ^in++++=within
the ^ati++++=the
mutualistic ^jj+atrb+++=mutualistic
network ^nn++++=network,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
used ^vpsv++agls+xvbnx+=used
for ^in++++=for
this ^dt+dem+++=this
purpose ^nn++++=purpose.
. ^zz++++=EXTRAWORD
The ^ati++++=The
weighted ^jj+atrb++xvbn+=weighted
degree ^nn++++=degree
centrality ^nn+nom+++=centrality
\(c_i\ ^nn+++??+=\(C_i\)
) ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
species ^nn++++=species
\(i\ ^nn+++??+=\(i\)
) ^zz++++=EXTRAWORD
from ^in++++=from
a ^at++++=a
given ^nn++++=given
set ^vbd+++xvbn+=set
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
floral ^jj+atrb+++=floral
visitors ^nns++++=visitors)
) ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
calculated ^vpsv++agls+xvbnx+=calculated
as ^ql++++=as
\(c_i ^nn+++??+=\(C_i
= ^zz++++==
k_i ^nn+++??+=k_i
N_o\ ^np+++??+=N_o\),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
\(k_i\ ^nn+++??+=\(k_i\)
) ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
interactions ^nns+nom+++=interactions
of ^in++++=of
species ^nn++++=species
\(i\ ^nn+++??+=\(i\)
) ^zz++++=EXTRAWORD
and ^cc++++=and
\(n_o\ ^nn+++??+=\(N_o\)
) ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
species ^nn++++=species
richness ^nns+nom+++=richness
of ^in++++=of
the ^ati++++=the
opposite ^nn++++=opposite
set ^vbd+++xvbn+=set
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
species ^nns++++=species
\(i\ ^nn+++??+=\(i\)
) ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
floral ^jj+atrb+++=floral
visitor ^nn++++=visitor,
, ^zz++++=EXTRAWORD
the ^ati++++=the
opposite ^in++++=opposite
set ^nn++++=set
comprises ^vbz++++=comprises
flowering ^jj+atrb+++=flowering
plants ^nns++++=plants).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
computed ^vbd+++xvbn+=computed
a ^at++++=a
z ^zz++++=z-score
- ^zz++++=EXTRAWORD
score ^nn++++=EXTRAWORD
to ^to++++=to
identify ^vbi++++=identify
species ^nns++++=species
with ^in++++=with
extreme ^jj+atrb+++=extreme
centrality ^nn+nom+++=centrality
values ^nns++++=values,
, ^zz++++=EXTRAWORD
using ^vbg+++xvbg+=using
\(s_i ^nn+++??+=\(S_i
= ^zz++++==
( ^zz++++=(C_i
c_i ^nn+++??+=EXTRAWORD
\overline{c ^nn+++??+=\overline{C})
} ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
\sigma\ ^nn+++??+=\sigma\),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
\(\overline{c}\ ^nn+++??+=\(\overline{C}\)
is ^vbz+bez+vrb++=is
