Based ^xvbn+++xvbn+=Based
on ^in++++=on
a ^at++++=a
review ^nn++++=review
of ^in++++=of
the ^ati++++=the
available ^jj+atrb+++=available
literature ^nn++++=literature,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
study ^nn++++=study
presents ^vbz++++=presents
a ^at++++=a
list ^nn++++=list
of ^in++++=of
40 ^cd++++=40
gasteroid ^nn+++??+=gasteroid
fungal ^jj+atrb+++=fungal
species ^nn++++=species
( ^zz++++=(Agaricomycetes,
agaricomycetes ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Basidiomycota ^np+++??+=Basidiomycota)
) ^zz++++=EXTRAWORD
recorded ^jj+++xvbn+=recorded
in ^in++++=in
Paraguay ^np+++??+=Paraguay
since ^cs+sub+++=since
the ^ati++++=the
earliest ^nn++++=earliest
documented ^vwbn+++xvbn+=documented
collections ^nns+nom+++=collections.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
species ^nn++++=species
are ^vb+ber+aux++=are
distributed ^vpsv++agls+xvbnx+=distributed
across ^in+pl+++=across
16 ^cd++++=16
genera ^nns++++=genera
and ^cc++++=and
4 ^zz++++=4
families ^nns++++=families.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
work ^nn++++=work
constitutes ^vbz++++=constitutes
the ^ati++++=the
first ^rb++++=first
comprehensive ^jj+atrb+++=comprehensive
compilation ^nn+nom+++=compilation
of ^in++++=of
data ^nns++++=data
on ^in++++=on
gasteroid ^nn+++??+=gasteroid
fungi ^nns++++=fungi
in ^in++++=in
Paraguay ^np+++??+=Paraguay.
. ^zz++++=EXTRAWORD
The ^ati++++=The
results ^nns++++=results
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
species ^nn++++=species
formally ^rb++++=formally
reported ^vpsv++agls+xvbn+=reported
for ^in++++=for
the ^ati++++=the
paraguayan ^np+nom+++=Paraguayan
mycobiota ^nn++++=mycobiota
remains ^nns++++=remains
limited ^vwbn+++xvbn+=limited.
. ^zz++++=EXTRAWORD
