With ^in++++=With
respect ^nn++++=respect
to ^in++++=to
leaf ^nn++++=leaf
transpiration ^nn+nom+++=transpiration
rates ^nns++++=rates,
, ^zz++++=EXTRAWORD
both ^abx++++=both
garden ^nn++++=garden-grown
- ^zz++++=EXTRAWORD
grown ^vprf+++xvbn+=EXTRAWORD
and ^cc++++=and
greenhouse ^nn++++=greenhouse-grown
- ^zz++++=EXTRAWORD
grown ^xvbn+++xvbn+=EXTRAWORD
plants ^nns++++=plants
exhibited ^vbd+++xvbn+=exhibited
differences ^nns+nom+++=differences
compared ^vbd+++xvbn+=compared
to ^in++++=to
wild ^jj+atrb+++=wild
plants ^nns++++=plants,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
that ^tht+vcmp+++=that
plant ^nn++++=plant
developmental ^nn+nom+++=developmental
stage ^nn++++=stage
influences ^nns+nom+++=influences
this ^dt+dem+++=this
physiological ^jj+atrb+++=physiological
parameter ^nn+nom+++=parameter.
. ^zz++++=EXTRAWORD
In ^in++++=In
comparison ^nn++++=comparison
to ^in++++=to
other ^ap++++=other
Cerrado ^np+++??+=Cerrado
species ^nn++++=species
( ^zz++++=(Palhares
palhares ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2010 ^cd++++=2010),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
adult ^nn++++=adult
wild ^jj+atrb+++=wild
individuals ^nns+nom+++=individuals
of ^in++++=of
V ^zz++++=V.
. ^zz++++=EXTRAWORD
squamata ^nn+++??+=squamata
demonstrated ^vbd+vprv++xvbn+=demonstrated
lower ^jjr+atrb+++=lower
water ^nn++++=water
use ^nn++++=use
efficiency ^nn++++=efficiency.
. ^zz++++=EXTRAWORD
Conversely ^rb+cnj+++=Conversely,
, ^zz++++=EXTRAWORD
leaves ^nns++++=leaves
from ^in++++=from
younger ^jjr+atrb+++=younger
plants ^nns++++=plants
cultivated ^vbd+++xvbn+=cultivated
in ^in++++=in
the ^ati++++=the
garden ^nn++++=garden
and ^cc++++=and
greenhouse ^nn++++=greenhouse
displayed ^vbd+++xvbn+=displayed
reduced ^vbd+++xvbn+=reduced
carbon ^nn++++=carbon
assimilation ^nn+nom+++=assimilation
rates ^nns++++=rates
but ^cc++++=but
improved ^jj+atrb++xvbn+=improved
water ^nn++++=water
use ^nn++++=use
efficiency ^nn++++=efficiency.
. ^zz++++=EXTRAWORD
In ^in++++=In
vitro ^nn+++??+=vitro
plantlets ^nns+nom+++=plantlets
exhibited ^vbd+++xvbn+=exhibited
higher ^jjr+atrb+++=higher
transpiration ^nn+nom+++=transpiration
rates ^nns++++=rates,
, ^zz++++=EXTRAWORD
a ^at++++=a
characteristic ^nn++++=characteristic
commonly ^rb++++=commonly
observed ^vbd+vprv++xvbn+=observed
in ^in++++=in
such ^abl++++=such
conditions ^nns+nom+++=conditions.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
attributable ^jj+pred+++=attributable
to ^in++++=to
the ^ati++++=the
underdeveloped ^jj+atrb+++=underdeveloped
structure ^nn++++=structure
and ^cc++++=and
function ^nn+nom+++=function
of ^in++++=of
the ^ati++++=the
epidermis ^nns+++??+=epidermis
and ^cc++++=and
stomata ^nn+++??+=stomata,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
limited ^vwbn+++xvbn+=limited
control ^nn++++=control
over ^in++++=over
transpiration ^nn+nom+++=transpiration
and ^cc++++=and
contributing ^jj+++xvbg+=contributing
to ^in++++=to
stress ^nn++++=stress
during ^in++++=during
the ^ati++++=the
transition ^nn+nom+++=transition
from ^in++++=from
in ^in++++=in
vitro ^nn+++??+=vitro
to ^in++++=to
greenhouse ^nn++++=greenhouse
environments ^nns+nom+++=environments
( ^zz++++=(Van
van ^&fw++++=EXTRAWORD
Huylenbroeck ^np+++??+=Huylenbroeck
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
1998 ^cd+date+++=1998;
; ^zz++++=EXTRAWORD
amancio ^np++++=Amancio
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
1999 ^cd+date+++=1999;
; ^zz++++=EXTRAWORD
kaur ^np++++=Kaur
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
