Over ^in++++=Over
several ^ap++++=several
years ^nns++++=years
of ^in++++=of
research ^nn++++=research
on ^in++++=on
culicid ^nn+++??+=culicid
fauna ^nn++++=fauna
in ^in++++=in
the ^ati++++=the
state ^nn++++=state
of ^in++++=of
Paran ^np+++??+=Paran
, ^zz++++=,
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Ana ^np++++=Ana
Leuch ^np+++??+=Leuch
Lozovei ^np+++??+=Lozovei
and ^cc++++=and
her ^pp$+pp3+++=her
research ^nn++++=research
group ^nn++++=group
published ^vbd+++xvbn+=published
multiple ^jj+atrb+++=multiple
studies ^nns++++=studies
[ ^zz++++=[2,3,17,34,50
2,3,17,34,50 ^cd++++=EXTRAWORD
52 ^cd++++=52]
] ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
emphasized ^vbd+vpub++xvbn+=emphasized
the ^ati++++=the
significance ^nn+nom+++=significance
of ^in++++=of
culicids ^nns+++??+=culicids
in ^in++++=in
disease ^nn++++=disease
transmission ^nn++++=transmission
and ^cc++++=and
their ^pp$+pp3+++=their
role ^nn++++=role
as ^ql++++=as
indicators ^nns++++=indicators
of ^in++++=of
environmental ^jj+atrb+++=environmental
quality ^nn+nom+++=quality.
. ^zz++++=EXTRAWORD
The ^ati++++=The
present ^jj+atrb+++=present
study ^nn++++=study
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made
possible ^jj++++=possible
through ^in++++=through
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
data ^nns++++=data
generated ^vpsv++by+xvbn+=generated
by ^in++++=by
these ^dt+dem+++=these
previous ^jj+atrb+++=previous
investigations ^nns+nom+++=investigations.
. ^zz++++=EXTRAWORD
