A ^at++++=A
major ^jj+atrb+++=major
consequence ^nn+nom+++=consequence
of ^in++++=of
the ^ati++++=the
expansion ^nn++++=expansion
of ^in++++=of
agriculture ^nn++++=agriculture,
, ^zz++++=EXTRAWORD
industry ^nn++++=industry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
urbanization ^nn+nom+++=urbanization
into ^in++++=into
these ^dt+dem+++=these
regions ^nns++++=regions
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
the ^ati++++=the
loss ^nn++++=loss
of ^in++++=of
animal ^nn++++=animal
and ^cc++++=and
plant ^nn++++=plant
species ^nns++++=species
that ^tht+rel+subj++=that
have ^vb+hv+aux++=have
not ^xnot++not++=not
yet ^rb++++=yet
been ^vprf+ben+aux+xvbn+=been
documented ^vpsv++by+xvbnx+=documented
by ^in++++=by
modern ^jj+atrb+++=modern
science ^nn+nom+++=science;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
the ^ati++++=the
focus ^nn++++=focus
of ^in++++=of
this ^dt+dem+++=this
discussion ^nn++++=discussion
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
on ^in++++=on
species ^nns++++=species
extinction ^nn+nom+++=extinction,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
rather ^rb++++=rather
on ^in++++=on
how ^wrb+who+++=how
the ^ati++++=the
appropriation ^nn+nom+++=appropriation
of ^in++++=of
biodiversity ^nn+nom+++=biodiversity
components ^nns++++=components
has ^vbz+hvz+aux++=has
often ^rb++splt++=often
disregarded ^vprf+++xvbnx+=disregarded
the ^ati++++=the
traditions ^nns+nom+++=traditions
of ^in++++=of
indigenous ^jj+atrb+++=indigenous
peoples ^nns++++=peoples,
, ^zz++++=EXTRAWORD
reflecting ^vbg+vprv++xvbg+=reflecting
a ^at++++=a
perspective ^nn++++=perspective
of ^in++++=of
cultural ^jj+atrb+++=cultural
superiority ^nn+nom+++=superiority.
. ^zz++++=EXTRAWORD
