Table ^nn++++=Table
3 ^zz++++=3
displays ^nns++++=displays
the ^ati++++=the
corrected ^jj+atrb++xvbn+=corrected
item ^nn++++=item-total
- ^zz++++=EXTRAWORD
total ^jj+atrb+++=EXTRAWORD
correlation ^nn+nom+++=correlation
coefficients ^nns++++=coefficients
and ^cc++++=and
the ^ati++++=the
internal ^jj+atrb+++=internal
consistency ^nn++++=consistency
of ^in++++=of
the ^ati++++=the
Sbs ^np+++??+=SBS,
, ^zz++++=EXTRAWORD
as ^in++++=as
assessed ^nn++++=assessed
by ^in++++=by
Cronbach ^np++++=Cronbach's
's ^$++++=EXTRAWORD
Alpha ^np+++??+=Alpha
( ^zz++++=(
) ^zz++++=)
and ^cc++++=and
Mcdonald ^np++++=McDonald's
's ^$++++=EXTRAWORD
Omega ^np+++??+=Omega
( ^zz++++=(
) ^zz++++=),
, ^zz++++=EXTRAWORD
including ^in++++=including
their ^pp$+pp3+++=their
respective ^jj+atrb+++=respective
values ^nns++++=values
if ^cs+cnd+++=if
individual ^jj+atrb+++=individual
items ^nns++++=items
were ^vbd+bed+aux++=were
deleted ^vpsv++agls+xvbnx+=deleted.
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
alpha ^nn++++=alpha
and ^cc++++=and
omega ^nn+++??+=omega
coefficients ^nns++++=coefficients
demonstrated ^vbd+vprv++xvbn+=demonstrated
satisfactory ^jj+atrb+++=satisfactory
levels ^nns++++=levels
of ^in++++=of
internal ^jj+atrb+++=internal
consistency ^nn++++=consistency,
, ^zz++++=EXTRAWORD
ranging ^vbg+++xvbg+=ranging
from ^in++++=from
0.60 ^nn+++??+=0.60
to ^in++++=to
0.89 ^nn+++??+=0.89,
, ^zz++++=EXTRAWORD
consistent ^jj++++=consistent
with ^in++++=with
established ^vbd+vprv++xvbn+=established
benchmarks ^nns+++??+=benchmarks
( ^zz++++=(Toledo
toledo ^np++++=EXTRAWORD
Junior ^jj++++=Junior
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018;
; ^zz++++=EXTRAWORD
Bowling ^np+nom++xvbg+=Bowling,
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005;
; ^zz++++=EXTRAWORD
Tavakol ^np+++??+=Tavakol
& ^zz++++=&
Dennick ^np+++??+=Dennick,
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
across ^in+pl+++=across
both ^abx++++=both
the ^ati++++=the
overall ^jjb+atrb+++=overall
scale ^nn++++=scale
and ^cc++++=and
its ^pp$+it+++=its
individual ^jj+atrb+++=individual
factors ^nns++++=factors.
. ^zz++++=EXTRAWORD
In ^in++++=In
several ^ap++++=several
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
omega ^nn+++??+=omega
values ^nns++++=values
were ^vbd+bed+vrb++=were
marginally ^rb++++=marginally
higher ^jjr+pred+++=higher
than ^in++++=than
alpha ^nn++++=alpha
values ^nns++++=values
for ^rb++++=for
certain ^rb"++++=certain
factors ^nns++++=factors
and ^cc++++=and
items ^nns++++=items.
. ^zz++++=EXTRAWORD
The ^ati++++=The
overall ^jjb+atrb+++=overall
reliability ^nn+nom+++=reliability
of ^in++++=of
the ^ati++++=the
scale ^nn++++=scale
was ^vbd+bedz+vrb++=was
= ^zz++++==
. ^zz++++=.80
80 ^cd++++=EXTRAWORD
and ^cc++++=and
= ^zz++++==
. ^zz++++=.81,
81 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
reliability ^nn+nom+++=reliability
coefficients ^nns++++=coefficients
for ^in++++=for
each ^dt++++=each
of ^in++++=of
the ^ati++++=the
five ^cd++++=five
factors ^nns++++=factors
exceeded ^vbd+++xvbn+=exceeded
0.78 ^nn+++??+=0.78
for ^in++++=for
both ^abx++++=both
and ^cc++++=and
. ^zz++++=.
For ^in++++=For
some ^dti++++=some
items ^nns++++=items,
, ^zz++++=EXTRAWORD
the ^ati++++=the
deletion ^nn+nom+++=deletion
resulted ^vbd+++xvbn+=resulted
in ^in++++=in
decreased ^vprf+++xvbn+=decreased
and ^cc++++=and
coefficients ^nns++++=coefficients,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
that ^tht+vcmp+++=that
these ^dt+dem+++=these
items ^nns++++=items
contributed ^vbd+++xvbn+=contributed
positively ^rb++++=positively
to ^in++++=to
the ^ati++++=the
reliability ^nn+nom+++=reliability
of ^in++++=of
the ^ati++++=the
scale ^nn++++=scale.
. ^zz++++=EXTRAWORD
The ^ati++++=The
" ^zz++++="Corrected
corrected ^vwbn+++xvbn+=EXTRAWORD
Item ^nn++++=Item-Total
- ^zz++++=EXTRAWORD
total ^jj+atrb+++=EXTRAWORD
Correlation ^nn+nom+++=Correlation"
" ^zz++++=EXTRAWORD
column ^nn++++=column
reports ^nns++++=reports
the ^ati++++=the
correlation ^nn+nom+++=correlation
between ^in++++=between
each ^dt++++=each
item ^nn++++=item
and ^cc++++=and
the ^ati++++=the
total ^jj+atrb+++=total
scale ^nn++++=scale
score ^nn++++=score;
; ^zz++++=EXTRAWORD
values ^nns++++=values
above ^jjb+atrb+++=above
0.3 ^nn+++??+=0.3
are ^vb+ber+aux++=are
generally ^rb+down+splt++=generally
considered ^vpsv++agls+xvbnx+=considered
acceptable ^jj++++=acceptable
for ^in++++=for
reliability ^nn+nom+++=reliability
purposes ^nns++++=purposes.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
study ^nn++++=study,
, ^zz++++=EXTRAWORD
all ^abn++++=all
items ^nns++++=items
demonstrated ^vbd+vprv++xvbn+=demonstrated
corrected ^vbd+++xvbn+=corrected
item ^nn++++=item-total
- ^zz++++=EXTRAWORD
total ^jj+atrb+++=EXTRAWORD
correlations ^nns+nom+++=correlations
above ^jjb+atrb+++=above
0.52 ^nn+++??+=0.52,
, ^zz++++=EXTRAWORD
supporting ^vbg+++xvbg+=supporting
the ^ati++++=the
reliability ^nn+nom+++=reliability
of ^in++++=of
the ^ati++++=the
scale ^nn++++=scale
( ^zz++++=(Hair
hair ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
