Given ^vbd+++xvbn+=Given
the ^ati++++=the
increasing ^jj+atrb++xvbg+=increasing
prevalence ^nn+nom+++=prevalence
of ^in++++=of
selfie ^nn+++??+=selfie-taking
- ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=EXTRAWORD
behavior ^nn++++=behavior
among ^in++++=among
adolescents ^nns++++=adolescents
and ^cc++++=and
young ^jj+atrb+++=young
adults ^nns++++=adults,
, ^zz++++=EXTRAWORD
Balakrishnan ^np+nom++??+=Balakrishnan
and ^cc++++=and
Griffiths ^np++++=Griffiths
( ^zz++++=(2017)
2017 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
developed ^vprf+++xvbn+=developed
the ^ati++++=the
Selfitis ^np+++??+=Selfitis
Behavior ^nn++++=Behavior
Scale ^nn++++=Scale
( ^zz++++=(SBS).
sbs ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Psychometric ^np+++??+=Psychometric
evaluations ^nns+nom+++=evaluations
of ^in++++=of
the ^ati++++=the
Sbs ^np+++??+=SBS,
, ^zz++++=EXTRAWORD
including ^in++++=including
exploratory ^jj+atrb+++=exploratory
factor ^nn++++=factor
analysis ^nn++++=analysis
and ^cc++++=and
assessments ^nns+nom+++=assessments
of ^in++++=of
internal ^jj+atrb+++=internal
consistency ^nn++++=consistency,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
demonstrated ^vprf+++xvbnx+=demonstrated
satisfactory ^jj+atrb+++=satisfactory
reliability ^nn+nom+++=reliability
and ^cc++++=and
validity ^nn+nom+++=validity
in ^in++++=in
samples ^nns++++=samples
of ^in++++=of
university ^nn+nom+++=university
students ^nns++++=students
from ^in++++=from
India ^np++++=India,
, ^zz++++=EXTRAWORD
Iran ^np+++??+=Iran,
, ^zz++++=EXTRAWORD
Afghanistan ^np+nom+++=Afghanistan
( ^zz++++=(Lin
lin ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Turkey ^nn++++=Turkey
( ^zz++++=(Ciplak
ciplak ^nn+++??+=EXTRAWORD
& ^zz++++=&
Atici ^np+++??+=Atici,
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
italy ^np++++=Italy
( ^zz++++=(Monacis
monacis ^nns++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
