Based ^xvbn+++xvbn+=Based
on ^in++++=on
the ^ati++++=the
literature ^nn++++=literature
reviewed ^vwbn+++xvbn+=reviewed,
, ^zz++++=EXTRAWORD
Figure ^nn++++=Figure
3 ^zz++++=3
presents ^vbz++++=presents
the ^ati++++=the
development ^nn+nom+++=development
of ^in++++=of
mainstream ^nn++++=mainstream
economic ^jj+atrb+++=economic
thought ^nn+++xvbn+=thought
regarding ^in++++=regarding
capital ^nn++++=capital
account ^nn++++=account
liberalization ^nn+nom+++=liberalization
and ^cc++++=and
capital ^nn++++=capital
controls ^nns++++=controls,
, ^zz++++=EXTRAWORD
spanning ^vbg+++xvbg+=spanning
from ^in++++=from
the ^ati++++=the
period ^nn++++=period
of ^in++++=of
liberalizing ^xvbg+++xvbg+=liberalizing
reforms ^nns++++=reforms
to ^in++++=to
the ^ati++++=the
post ^nn++++=post-crisis
- ^zz++++=EXTRAWORD
crisis ^nn++++=EXTRAWORD
era ^nn++++=era.
. ^zz++++=EXTRAWORD
The ^ati++++=The
evidence ^nn+nom+++=evidence
indicates ^nns+nom+++=indicates
a ^at++++=a
distinct ^jj+atrb+++=distinct
theoretical ^jj+atrb+++=theoretical
shift ^nn++++=shift
within ^in++++=within
the ^ati++++=the
orthodox ^jj+atrb+++=orthodox
approach ^nn++++=approach
to ^in++++=to
capital ^nn++++=capital
controls ^nns++++=controls,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
suggests ^vbz+vpub+++=suggests
the ^ati++++=the
formation ^nn+nom+++=formation
of ^in++++=of
a ^at++++=a
new ^jj+atrb+++=new
orthodox ^jj+atrb+++=orthodox
paradigm ^nn++++=paradigm
within ^in++++=within
mainstream ^nn++++=mainstream
economics ^nn++++=economics.
. ^zz++++=EXTRAWORD
