Identification ^nn+nom+++=Identification.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
species ^nn++++=species
is ^vbz+bez+aux++=is
distinguished ^vpsv++by+xvbnx+=distinguished
by ^in++++=by
its ^pp$+it+++=its
large ^jj+atrb+++=large
basidiomata ^nn+++??+=basidiomata,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
can ^md+pos+++=can
reach ^vb++++=reach
up ^rp++++=up
to ^to++++=to
8 ^zz++++=8
cm ^nnu++++=cm
in ^in++++=in
diameter ^nn+nom+++=diameter,
, ^zz++++=EXTRAWORD
involute ^nn+++??+=involute
lacinias ^nns+++??+=lacinias,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
non ^&fw++++=non-hygroscopic
- ^zz++++=EXTRAWORD
hygroscopic ^jj+atrb+++=EXTRAWORD
nature ^nn++++=nature.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
possesses ^nns+nom+++=possesses
a ^at++++=a
prominent ^jj+atrb+++=prominent
and ^cc+phrs+++=and
conspicuous ^jj+atrb+++=conspicuous
collar ^nn++++=collar
around ^in++++=around
the ^ati++++=the
endoperidium ^nn+++??+=endoperidium,
, ^zz++++=EXTRAWORD
derived ^j+++xvbn+=derived
from ^in++++=from
the ^ati++++=the
pseudoparenchymal ^jj+atrb+++=pseudoparenchymal
layer ^nn++++=layer
of ^in++++=of
the ^ati++++=the
exoperidium ^nn+++??+=exoperidium.
. ^zz++++=EXTRAWORD
The ^ati++++=The
endoperidium ^nn+++??+=endoperidium
is ^vbz+bez+vrb++=is
sessile ^nn+++??+=sessile,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
peristoma ^nn+++??+=peristoma
is ^vbz+bez+vrb++=is
either ^dtx++++=either
delimited ^jj++++=delimited
or ^cc+phrs+++=or
unbounded ^jj++++=unbounded
and ^cc+phrs+++=and
fibrous ^jj++++=fibrous
( ^zz++++=(Sunhede
sunhede ^nn++++=EXTRAWORD
1989 ^cd+date+++=1989).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
