Identification ^nn+nom+++=Identification.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
species ^nn++++=species
is ^vbz+bez+aux++=is
distinguished ^vpsv++by+xvbnx+=distinguished
by ^in++++=by
its ^pp$+it+++=its
small ^jj+atrb+++=small
basidiomata ^nn+++??+=basidiomata,
, ^zz++++=EXTRAWORD
measuring ^vbg+++xvbg+=measuring
17 ^cd++++=17
30 ^cd++++=30
mm ^nnu++++=mm
in ^in++++=in
width ^nn++++=width,
, ^zz++++=EXTRAWORD
a ^at++++=a
non ^&fw++++=non-hygroscopic
- ^zz++++=EXTRAWORD
hygroscopic ^jj+atrb+++=EXTRAWORD
exoperidium ^nn+++??+=exoperidium,
, ^zz++++=EXTRAWORD
a ^at++++=a
sessile ^nn+++??+=sessile
endoperidium ^nn+++??+=endoperidium,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
basidiospores ^nns+++??+=basidiospores
with ^in++++=with
diameters ^nns+nom+++=diameters
ranging ^vwbg+++xvbg+=ranging
from ^in++++=from
3.5 ^cd++++=3.5
to ^to++++=to
5 ^zz++++=5
m ^zz++++=m
( ^zz++++=(Campi
campi ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
