Cryopreservation ^np+nom++??+=Cryopreservation
offers ^vbz++++=offers
significant ^jj+atrb+++=significant
advantages ^nns+nom+++=advantages
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
potential ^jj+atrb+++=potential
storage ^nn+nom+++=storage
duration ^nn+nom+++=duration,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
when ^wrb+who+++=when
using ^vbg+++xvbg+=using
direct ^jj+atrb+++=direct
immersion ^nn++++=immersion
methods ^nns++++=methods,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
the ^ati++++=the
most ^ap+emph+++=most
cost ^nn++++=cost-effective
- ^zz++++=EXTRAWORD
effective ^jj++++=EXTRAWORD
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
minimal ^jj+atrb+++=minimal
use ^nn++++=use
of ^in++++=of
cryoprotectants ^nns+nom+++=cryoprotectants
and ^cc++++=and
reagents ^nns++++=reagents.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
long ^jj++++=long-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
or ^cc++++=or
indefinite ^jj+atrb+++=indefinite
storage ^nn+nom+++=storage
of ^in++++=of
plant ^nn++++=plant
material ^nn++++=material,
, ^zz++++=EXTRAWORD
cryopreservation ^nn+nom+++=cryopreservation
in ^in++++=in
liquid ^jj+atrb+++=liquid
nitrogen ^nn++++=nitrogen
at ^in++++=at
- ^zz++++=-196
196 ^cd++++=EXTRAWORD
C ^zz++++=C
is ^vbz+bez+vrb++=is
currently ^rb++++=currently
the ^ati++++=the
only ^rb+down+++=only
available ^jj+atrb+++=available
technique ^nn++++=technique
( ^zz++++=(Engelmann
engelmann ^nn+++??+=EXTRAWORD
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
cryopreservation ^nn+nom+++=cryopreservation
demonstrates ^nns+nom+++=demonstrates
substantial ^jj+atrb+++=substantial
benefits ^nns++++=benefits
over ^in++++=over
traditional ^jj+atrb+++=traditional
conservation ^nn+nom+++=conservation
methods ^nns++++=methods
( ^zz++++=(Vendrame
vendrame ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
