I ^pp1a+pp1+++=I
would ^md+prd+++=would
like ^vb++++=like
to ^to+vcmp+++=to
express ^nns+nom+++=express
my ^pp$+pp1+++=my
sincere ^jj+atrb+++=sincere
gratitude ^nn++++=gratitude
to ^in++++=to
Professor ^npt++++=Professor
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Richard ^np++++=Richard
Malcolm ^np++++=Malcolm
Coulthard ^np+++??+=Coulthard
for ^in++++=for
his ^pp$+pp3+++=his
invaluable ^jj+atrb+++=invaluable
support ^nn++++=support
and ^cc++++=and
contributions ^nns+nom+++=contributions
throughout ^rb++++=throughout
all ^abn++++=all
stages ^nns++++=stages
of ^in++++=of
this ^dt+dem+++=this
research ^nn++++=research.
. ^zz++++=EXTRAWORD
