Lake ^nn++++=Lake
Tanganyika ^np++++=Tanganyika,
, ^zz++++=EXTRAWORD
estimated ^vb+++xvbn+=estimated
to ^to+vcmp+++=to
be ^vbi++vrb++=be
approximately ^rb+down+++=approximately
12 ^cd++++=12
million ^cd++++=million
years ^nns++++=years
old ^jj++++=old
( ^zz++++=(Cohen
cohen ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1993 ^cd+date+++=1993),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
oldest ^nn++++=oldest
of ^in++++=of
the ^ati++++=the
East ^np+pl+++=East
African ^jj+atrb+++=African
Great ^jj+atrb+++=Great
Lakes ^nns++++=Lakes.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
distinguished ^vpsv++by+xvbnx+=distinguished
by ^in++++=by
its ^pp$+it+++=its
highly ^rb+amp+++=highly
diverse ^jj+atrb+++=diverse
ichthyofauna ^nn+++??+=ichthyofauna,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
contributes ^vbz++++=contributes
significantly ^rb++++=significantly
to ^in++++=to
global ^jj+atrb+++=global
freshwater ^jjb+atrb+++=freshwater
lacustrine ^nn+++??+=lacustrine
biodiversity ^nn+nom+++=biodiversity
( ^zz++++=(Coulter
coulter ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1986 ^cd+date+++=1986).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
lake ^npl++++=lake
s ^zz++++=s
surface ^nn++++=surface
area ^nn++++=area
of ^in++++=of
32,000 ^cd++++=32,000
km ^nnu++++=km
is ^vbz+bez+aux++=is
distributed ^vpsv++agls+xvbnx+=distributed
among ^in++++=among
four ^cd++++=four
countries ^nns++++=countries:
: ^zz++++=EXTRAWORD
the ^ati++++=the
Democratic ^jj+atrb+++=Democratic
Republic ^nn++++=Republic
of ^in++++=of
the ^ati++++=the
Congo ^np++++=Congo
in ^in++++=in
the ^ati++++=the
west ^nr+pl+++=west
( ^zz++++=(14,800
14,800 ^cd++++=EXTRAWORD
km ^nnu++++=km
or ^cc++++=or
45% ^cd++++=45%),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Tanzania ^np+++??+=Tanzania
in ^in++++=in
the ^ati++++=the
east ^nr+pl+++=east
( ^zz++++=(13,500
13,500 ^cd++++=EXTRAWORD
km ^nnu++++=km
or ^cc++++=or
41% ^cd++++=41%),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Burundi ^np+++??+=Burundi
in ^in++++=in
the ^ati++++=the
north ^nr+pl+++=north
( ^zz++++=(2,600
2,600 ^cd++++=EXTRAWORD
km ^nnu++++=km
or ^cc++++=or
8% ^cd++++=8%),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Zambia ^np++++=Zambia
in ^in++++=in
the ^ati++++=the
south ^nr+pl+++=south
( ^zz++++=(2,000
2,000 ^cd++++=EXTRAWORD
km ^nnu++++=km
or ^cc++++=or
6 ^zz++++=6%)
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(Cohen
cohen ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1993 ^cd+date+++=1993;
; ^zz++++=EXTRAWORD
fermon ^np++++=Fermon,
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007)
) ^zz++++=EXTRAWORD
( ^zz++++=(Fig.
fig ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
