To ^in++++=To
the ^ati++++=the
best ^nn++++=best
of ^in++++=of
our ^pp$+pp1+++=our
knowledge ^nn++++=knowledge,
, ^zz++++=EXTRAWORD
prior ^in+cmpx+++=prior
to ^in"++++=to
this ^dt+dem+++=this
study ^nn++++=study,
, ^zz++++=EXTRAWORD
no ^at++++=no
comprehensive ^jj+atrb+++=comprehensive
learner ^nn++++=learner
corpus ^nn++++=corpus
of ^in++++=of
English ^nn++++=English
written ^vbd+++xvbn+=written
texts ^nns++++=texts
produced ^vwbn+++xvbn+=produced
by ^in++++=by
Brazilian ^jj+atrb+++=Brazilian
university ^nn+nom+++=university
students ^nns++++=students
in ^in++++=in
classroom ^nn++++=classroom
settings ^nns++++=settings
was ^vbd+bedz+vrb++=was
available ^jj+pred+++=available
to ^to++++=to
support ^vbi++++=support
the ^ati++++=the
research ^nn++++=research
objectives ^nns++++=objectives
of ^in++++=of
our ^pp$+pp1+++=our
group ^nn++++=group.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
in ^in++++=in
2013 ^cd++++=2013,
, ^zz++++=EXTRAWORD
as ^ql++++=as
detailed ^jj++++=detailed
in ^in++++=in
Section ^nn+nom+++=Section
3 ^zz++++=3,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
designed ^vbd+++xvbn+=designed
the ^ati++++=the
Corifa9 ^np+++??+=CorIFA9
corpus ^nn++++=corpus,
, ^zz++++=EXTRAWORD
an ^at++++=an
academic ^jj+atrb+++=academic
English ^jj+atrb+++=English
learner ^nn++++=learner
corpus ^nn++++=corpus
specific ^jj++++=specific
to ^in++++=to
Brazilian ^jj+atrb+++=Brazilian
university ^nn+nom+++=university
contexts ^nns++++=contexts.
. ^zz++++=EXTRAWORD
The ^ati++++=The
primary ^jj+atrb+++=primary
motivation ^nn+nom+++=motivation
for ^in++++=for
this ^dt+dem+++=this
initiative ^nn++++=initiative
was ^vbd+bedz+aux++=was
to ^to++++=to
enhance ^nn+nom+++=enhance
learners ^nns+nom+++=learners
proficiency ^nn++++=proficiency
in ^in++++=in
academic ^jj+atrb+++=academic
English ^nn++++=English.
. ^zz++++=EXTRAWORD
Corpus ^nn++++=Corpus
analysis ^nn++++=analysis
enables ^vbz++++=enables
the ^ati++++=the
systematic ^jj+atrb+++=systematic
investigation ^nn+nom+++=investigation
of ^in++++=of
language ^nn+nom+++=language
use ^nn++++=use
within ^in++++=within
a ^at++++=a
defined ^jj+atrb++xvbn+=defined
population ^nn+nom+++=population,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
compilation ^nn+nom+++=compilation
of ^in++++=of
such ^abl++++=such
a ^at++++=a
corpus ^nn++++=corpus
was ^vbd+bedz+aux++=was
considered ^vpsv++agls+xvbnx+=considered
essential ^nn++++=essential
for ^in++++=for
the ^ati++++=the
development ^nn+nom+++=development
of ^in++++=of
targeted ^jj+atrb++xvbn+=targeted
instructional ^jj+atrb+++=instructional
materials ^nns+nom+++=materials
and ^cc++++=and
new ^jj+atrb+++=new
courses ^nns++++=courses.
. ^zz++++=EXTRAWORD
The ^ati++++=The
objective ^nn++++=objective
of ^in++++=of
this ^dt+dem+++=this
paper ^nn++++=paper
is ^vbz+bez+aux++=is
to ^to++++=to
present ^vb++++=present
the ^ati++++=the
process ^nns+nom+++=process
of ^in++++=of
compiling ^nn+nom+++=compiling
this ^dt+dem+++=this
learner ^nn++++=learner
corpus ^nn++++=corpus,
, ^zz++++=EXTRAWORD
highlighting ^jj+++xvbg+=highlighting
its ^pp$+it+++=its
relevance ^nn+nom+++=relevance
for ^in++++=for
understanding ^xvbg+++xvbg+=understanding
learners ^nns+nom+++=learners
needs ^nns++++=needs
and ^cc++++=and
informing ^vbg+++xvbg+=informing
pedagogical ^jj+atrb+++=pedagogical
decisions ^nns++++=decisions
based ^vwbn+++xvbn+=based
on ^in++++=on
empirical ^jj+atrb+++=empirical
data ^nns++++=data.
. ^zz++++=EXTRAWORD
The ^ati++++=The
subsequent ^jj+atrb+++=subsequent
sections ^nns+nom+++=sections
address ^nns+nom+++=address
the ^ati++++=the
relevant ^jj+atrb+++=relevant
literature ^nn++++=literature
underpinning ^vwbg+++xvbg+=underpinning
this ^dt+dem+++=this
work ^nn++++=work,
, ^zz++++=EXTRAWORD
the ^ati++++=the
methodological ^jj+atrb+++=methodological
procedures ^nns++++=procedures
employed ^vbd+++xvbn+=employed
in ^in++++=in
compiling ^nn+nom+++=compiling
the ^ati++++=the
corpus ^nn++++=corpus,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
studies ^nns++++=studies
that ^tht+rel+subj++=that
have ^vb+hv+aux++=have
utilized ^vpsv++agls+xvbn+=utilized
corifa ^np++++=CorIFA.
. ^zz++++=EXTRAWORD
