Data ^nns++++=Data
from ^in++++=from
45 ^cd++++=45
individuals ^nns+nom+++=individuals
of ^in++++=of
one ^cd1++++=one
new ^jj+atrb+++=new
species ^nns++++=species,
, ^zz++++=EXTRAWORD
10 ^cd++++=10
individuals ^nns+nom+++=individuals
of ^in++++=of
a ^at++++=a
second ^od++++=second
new ^jj+atrb+++=new
species ^nns++++=species,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
10 ^cd++++=10
individuals ^nns+nom+++=individuals
of ^in++++=of
Bagrobdella ^np+++??+=Bagrobdella
parauchenoglanii ^nn+++??+=parauchenoglanii
were ^vbd+bed+aux++=were
analyzed ^vpsv++agls+xvbnx+=analyzed
using ^vbg+++xvbg+=using
Principal ^jjb+atrb+++=Principal
Component ^nn++++=Component
Analysis ^nn++++=Analysis
( ^zz++++=(PCA).
pca ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
analysis ^nn++++=analysis
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
with ^in++++=with
the ^ati++++=the
Factominer ^np+nom++??+=FactoMineR
( ^zz++++=(Husson
husson ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020)
) ^zz++++=EXTRAWORD
and ^cc++++=and
factoextra ^nn+++??+=factoextra
( ^zz++++=(Kassambara
kassambara ^nn+++??+=EXTRAWORD
& ^zz++++=&
Mundt ^np+++??+=Mundt
2020 ^cd++++=2020)
) ^zz++++=EXTRAWORD
packages ^nns+nom+++=packages
in ^in++++=in
R ^zz++++=R.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
Bagrobdella ^np+++??+=Bagrobdella
auchenoglanii ^nn+++??+=auchenoglanii,
, ^zz++++=EXTRAWORD
B ^zz++++=B.
. ^zz++++=EXTRAWORD
fraudulenta ^nn+++??+=fraudulenta,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
B ^zz++++=B.
. ^zz++++=EXTRAWORD
anthopenis ^nns+++??+=anthopenis,
, ^zz++++=EXTRAWORD
each ^dt++++=each
represented ^vpsv++by+xvbn+=represented
by ^in++++=by
the ^ati++++=the
mean ^jj+atrb+++=mean
values ^nns++++=values
of ^in++++=of
the ^ati++++=the
parameters ^nns+nom+++=parameters
reported ^vwbn+vpub++xvbn+=reported
by ^in++++=by
Euzet ^np+++??+=Euzet
and ^cc++++=and
Le ^&fw++++=Le
Brun ^&fw++++=Brun
( ^zz++++=(1990),
1990 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
included ^vbd+++xvbn+=included
in ^in++++=in
the ^ati++++=the
analysis ^nn++++=analysis
as ^in++++=as
supplementary ^jj+atrb+++=supplementary
individuals ^nns+nom+++=individuals.
. ^zz++++=EXTRAWORD
