Localities ^nns+nom+++=Localities:
: ^zz++++=EXTRAWORD
Cg ^np+++??+=CG,
, ^zz++++=EXTRAWORD
Pr ^np+++??+=PR,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Sp ^&fo++++=SP,
, ^zz++++=EXTRAWORD
as ^in++++=as
reported ^nn++++=reported
by ^in++++=by
Maubet ^np+++??+=Maubet
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2017)
2017 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
campi ^np++++=Campi
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2013b).
2013b ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
