Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
leaves ^nns++++=leaves
from ^in++++=from
in ^in++++=in
vitro ^nn+++??+=vitro-grown
- ^zz++++=EXTRAWORD
grown ^xvbn+++xvbn+=EXTRAWORD
V ^zz++++=V.
. ^zz++++=EXTRAWORD
squamata ^jj+++??+=squamata
exhibited ^jj+++xvbn+=exhibited
several ^ap++++=several
structural ^jj+atrb+++=structural
differences ^nns+nom+++=differences
compared ^vbd+++xvbn+=compared
to ^in++++=to
those ^dt+dem+++=those
from ^in++++=from
acclimatized ^jj+atrb++xvbn+=acclimatized
plants ^nns++++=plants.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
in ^in++++=in
vitro ^nn+++??+=vitro
leaves ^nns++++=leaves
lacked ^vbd+++xvbn+=lacked
subepidermal ^jj+atrb+++=subepidermal
fibres ^nns++++=fibres,
, ^zz++++=EXTRAWORD
displayed ^j+++xvbn+=displayed
a ^at++++=a
less ^ql++++=less
pronounced ^jj+atrb++xvbn+=pronounced
dorsiventral ^jj+atrb+++=dorsiventral
mesophyll ^nn+++??+=mesophyll,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
undifferentiated ^vprf+++xvbnx+=undifferentiated
bundle ^nn++++=bundle
sheath ^nn++++=sheath
extensions ^nns++++=extensions,
, ^zz++++=EXTRAWORD
contained ^j+++xvbn+=contained
fewer ^ap++++=fewer
vascular ^nn+++??+=vascular
system ^nn++++=system
fibres ^nns++++=fibres,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
did ^vbd+dod+aux++=did
not ^xnot++not++=not
possess ^nns+nom+++=possess
aquiferous ^jj+atrb+++=aquiferous
parenchyma ^nn+++??+=parenchyma.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
aquiferous ^jj+atrb+++=aquiferous
tissue ^nn++++=tissue
is ^vbz+bez+aux++=is
retained ^vpsv++agls+xvbnx+=retained
in ^in++++=in
the ^ati++++=the
leaves ^nns++++=leaves
of ^in++++=of
in ^in++++=in
vitro ^nn+++??+=vitro-grown
- ^zz++++=EXTRAWORD
grown ^vprf+++xvbn+=EXTRAWORD
pineapple ^nn++++=pineapple
( ^zz++++=(Ananas
ananas ^nns+++??+=EXTRAWORD
comosus ^nns+++??+=comosus
L ^zz++++=L.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(Barboza
barboza ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2006 ^cd++++=2006).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
qualitative ^jj+atrb+++=qualitative
alterations ^nns+nom+++=alterations
observed ^vbd+++xvbn+=observed
in ^in++++=in
V ^zz++++=V.
. ^zz++++=EXTRAWORD
squamata ^nn+++??+=squamata,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
the ^ati++++=the
absence ^nn+nom+++=absence
of ^in++++=of
stomatal ^jj+atrb+++=stomatal
crypts ^nns++++=crypts
and ^cc++++=and
subepidermal ^jj+atrb+++=subepidermal
fibres ^nns++++=fibres,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
uncommon ^jj+pred+++=uncommon.
. ^zz++++=EXTRAWORD
