Current ^jj+atrb+++=Current
research ^nn++++=research
is ^vbz+bez+aux++=is
beginning ^vbg+++xvbgx+=beginning
to ^to++++=to
elucidate ^nn+nom+++=elucidate
how ^wrb+who+++=how
interactions ^nns+nom+++=interactions
involving ^vwbg+++xvbg+=involving
cheaters ^nns+nom+++=cheaters
can ^md+pos+++=can
influence ^nn+nom+++=influence
evolutionary ^jj+atrb+++=evolutionary
patterns ^nns++++=patterns
in ^in++++=in
mutualisms ^nns+nom+++=mutualisms,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
roles ^nns++++=roles
of ^in++++=of
species ^nn++++=species
as ^ql++++=as
either ^dtx++++=either
cheaters ^nns+nom+++=cheaters
or ^cc++++=or
mutualists ^nns+nom+++=mutualists
may ^md+pos+++=may
impact ^vb++++=impact
coevolution ^nn+nom+++=coevolution
and ^cc++++=and
local ^jj+atrb+++=local
adaptation ^nn+nom+++=adaptation.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
the ^ati++++=the
relationship ^nn+nom+++=relationship
between ^in++++=between
the ^ati++++=the
plant ^nn++++=plant
Lithophragma ^np+++??+=Lithophragma
parviflorum ^nn+++??+=parviflorum
( ^zz++++=(Saxifragaceae)
saxifragaceae ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
floral ^jj++++=floral-parasitic
- ^zz++++=EXTRAWORD
parasitic ^jj+atrb+++=EXTRAWORD
moth ^nn++++=moth
Greya ^np+++??+=Greya
politella ^nn+++??+=politella
shifts ^vbz++++=shifts
from ^in++++=from
parasitism ^nn+nom+++=parasitism
to ^in++++=to
mutualism ^nn+nom+++=mutualism
in ^in++++=in
the ^ati++++=the
absence ^nn+nom+++=absence
of ^in++++=of
L ^zz++++=L.
. ^zz++++=EXTRAWORD
parviflorum ^nn+++??+=parviflorum
s ^zz++++=s
legitimate ^jj+atrb+++=legitimate
pollinators ^nns++++=pollinators
within ^in++++=within
the ^ati++++=the
community ^nn+nom+++=community
( ^zz++++=(Thompson
thompson ^np++++=EXTRAWORD
& ^zz++++=&
Cunningham ^np++++=Cunningham
2002 ^cd++++=2002).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
major ^nn++++=major
challenge ^vb++++=challenge
in ^in++++=in
studying ^xvbg+++xvbg+=studying
the ^ati++++=the
evolutionary ^jj+atrb+++=evolutionary
consequences ^nns+nom+++=consequences
of ^in++++=of
ecological ^jj+atrb+++=ecological
interactions ^nns+nom+++=interactions
at ^in++++=at
the ^ati++++=the
community ^nn+nom+++=community
level ^nn++++=level
is ^vbz+bez+vrb++=is
that ^dt+dem+++=that
pairwise ^rb++++=pairwise
interactions ^nns+nom+++=interactions
are ^vb+ber+vrb++=are
not ^xnot++not++=not
independent ^jj++++=independent
but ^cc+cls+++=but
instead ^rb+cnj+++=instead
influence ^nn+nom+++=influence
one ^cd1++++=one
another ^dt++++=another
within ^in++++=within
ecological ^jj+atrb+++=ecological
networks ^nns++++=networks.
. ^zz++++=EXTRAWORD
Cheating ^nvbg+++xvbg+=Cheating
