Identification ^nn+nom+++=Identification.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
species ^nn++++=species
is ^vbz+bez+aux++=is
characterized ^vpsv++by+xvbnx+=characterized
by ^in++++=by
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
2 ^zz++++=2
to ^to++++=to
5 ^zz++++=5
robust ^jj++++=robust,
, ^zz++++=EXTRAWORD
spongy ^nn+++??+=spongy
columns ^nns++++=columns
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
reddish ^jj+pred+++=reddish
to ^in++++=to
orange ^nn++++=orange
in ^in++++=in
color ^nn++++=color,
, ^zz++++=EXTRAWORD
free ^jj++++=free
at ^in++++=at
the ^ati++++=the
base ^nn++++=base,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fused ^jj++++=fused
at ^in++++=at
the ^ati++++=the
apex ^nn++++=apex.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gleba ^nn+++??+=gleba
is ^vbz+bez+aux++=is
distributed ^vpsv++agls+xvbnx+=distributed
along ^in++++=along
the ^ati++++=the
internal ^jj+atrb+++=internal
surfaces ^nns++++=surfaces
of ^in++++=of
the ^ati++++=the
columns ^nns++++=columns
and ^cc++++=and
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
restricted ^jj+++xvbn+=restricted
to ^in++++=to
a ^at++++=a
glebifer ^jjr++++=glebifer
( ^zz++++=(Sandoval-Leiva
sandoval ^np+nom+++=EXTRAWORD
- ^zz++++=EXTRAWORD
leiva ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
magnago ^np++++=Magnago
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2013 ^cd++++=2013).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
