Given ^vbd+++xvbn+=Given
the ^ati++++=the
ecological ^jj+atrb+++=ecological
significance ^nn+nom+++=significance
and ^cc++++=and
high ^jj+atrb+++=high
levels ^nns++++=levels
of ^in++++=of
endemism ^nn+nom+++=endemism
among ^in++++=among
bromeliads ^nns+++??+=bromeliads,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
fundamentally ^rb++++=fundamentally
important ^jj+pred+++=important
to ^to+jcmp+++=to
develop ^vbi++++=develop
conservation ^nn+nom+++=conservation
strategies ^nns+++??+=strategies
that ^tht+rel+subj++=that
maintain ^vb+vpub+++=maintain
genetic ^jj+atrb+++=genetic
diversity ^nn+nom+++=diversity
within ^in++++=within
these ^dt+dem+++=these
species ^nn++++=species
( ^zz++++=(Costa
costa ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2014 ^cd++++=2014,
, ^zz++++=EXTRAWORD
Bfg ^np+++??+=BFG
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
current ^jj+atrb+++=current
information ^nn+nom+++=information
regarding ^in++++=regarding
ex ^jjb+atrb+++=ex
situ ^nn++++=situ
conservation ^nn+nom+++=conservation
practices ^nns++++=practices
for ^in++++=for
bromeliad ^nn+++??+=bromeliad
species ^nns++++=species
in ^in++++=in
Brazil ^np++++=Brazil
remains ^vbz++++=remains
limited ^vbd+++xvbn+=limited,
, ^zz++++=EXTRAWORD
highlighting ^jj+++xvbg+=highlighting
the ^ati++++=the
necessity ^nn+nom+++=necessity
for ^in++++=for
the ^ati++++=the
implementation ^nn+nom+++=implementation
of ^in++++=of
effective ^nn++++=effective
programs ^vbz+++??+=programs
aimed ^vwbn+++xvbn+=aimed
at ^rb++++=at
preserving ^vbg+++xvbg+=preserving
native ^jj+atrb+++=native
plant ^nn++++=plant
diversity ^nn+nom+++=diversity
( ^zz++++=(Rodrigues
rodrigues ^nns++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
