When ^wrb+who+++=When
vegetation ^nn+nom+++=vegetation
is ^vbz+bez+aux++=is
situated ^vpsv++agls+xvbnx+=situated
in ^in++++=in
proximity ^nn+nom+++=proximity
to ^in++++=to
watercourses ^nns+++??+=watercourses,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
referred ^vpsv++agls+xvbnx+=referred
to ^in++++=to
as ^ql++++=as
riparian ^jj+atrb+++=riparian
forest ^nn++++=forest,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
defined ^vpsv++agls+xvbnx+=defined
as ^ql++++=as
a ^at++++=a
transitional ^jj+atrb+++=transitional
zone ^nn++++=zone
extending ^vwbg+++xvbg+=extending
from ^in++++=from
the ^ati++++=the
boundary ^nn+nom+++=boundary
of ^in++++=of
the ^ati++++=the
watercourse ^nn+++??+=watercourse
to ^in++++=to
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
adjacent ^jj+atrb+++=adjacent
uplands ^nns++++=uplands.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
area ^nn++++=area
is ^vbz+bez+aux++=is
strongly ^rb+amp+splt++=strongly
influenced ^vpsv++by+xvbnx+=influenced
by ^in++++=by
the ^ati++++=the
hydrological ^jj+atrb+++=hydrological
regime ^nn++++=regime
and ^cc++++=and
is ^vbz+bez+aux++=is
characterized ^vpsv++by+xvbnx+=characterized
by ^in++++=by
a ^at++++=a
high ^jj+atrb+++=high
degree ^nn++++=degree
of ^in++++=of
habitat ^nn++++=habitat
heterogeneity ^nn+nom+++=heterogeneity
( ^zz++++=(Naiman
naiman ^jj++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2005 ^cd++++=2005).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
