Objective ^jj++++=Objective:
: ^zz++++=EXTRAWORD
To ^to++++=To
describe ^vbi++++=describe
authorship ^nn+nom+++=authorship
concentration ^nn+nom+++=concentration
indexes ^nns+++??+=indexes,
, ^zz++++=EXTRAWORD
specifically ^rb++++=specifically
the ^ati++++=the
proportion ^nn+nom+++=proportion
of ^in++++=of
articles ^nns++++=articles
published ^vwbn+++xvbn+=published
by ^in++++=by
the ^ati++++=the
most ^ql+emph+++=most
prolific ^jj+atrb+++=prolific
author ^nn++++=author
( ^zz++++=(PPMP)
ppmp ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
Gini ^np+++??+=Gini
coefficient ^nn++++=coefficient,
, ^zz++++=EXTRAWORD
among ^in++++=among
health ^nn++++=health
sciences ^nns+nom+++=sciences
journals ^nns+nom+++=journals
indexed ^vwbn+++xvbn+=indexed
in ^in++++=in
Lilacs ^np+++??+=LILACS,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
compare ^vbi++++=compare
these ^dt+dem+++=these
metrics ^nns++++=metrics
with ^in++++=with
those ^dt+dem+++=those
reported ^jj+++xvbn+=reported
in ^in++++=in
a ^at++++=a
previous ^jj+atrb+++=previous
study ^nn++++=study
of ^in++++=of
journals ^nns+nom+++=journals
indexed ^vpsv++agls+xvbn+=indexed
in ^in++++=in
medline ^np++++=MEDLINE.
. ^zz++++=EXTRAWORD
