Mescaline ^np+++??+=Mescaline
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
exclusive ^jj++++=exclusive
to ^in++++=to
Lophophora ^np+++??+=Lophophora
williamsii ^nn+++??+=williamsii,
, ^zz++++=EXTRAWORD
as ^ql++++=as
several ^ap++++=several
South ^nr+pl+++=South
American ^jj+atrb+++=American
species ^nns++++=species
of ^in++++=of
the ^ati++++=the
genus ^nns+++??+=genus
Trichocereus ^np+++??+=Trichocereus
also ^rb++++=also
synthesize ^vb++++=synthesize
this ^dt+dem+++=this
alkaloid ^nn+++??+=alkaloid
( ^zz++++=(Cassels
cassels ^nns+++??+=EXTRAWORD
& ^zz++++=&
S ^zz++++=S
ez ^nn+++??+=ez
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
Lophophora ^np+++??+=Lophophora
williamsii ^nn+++??+=williamsii
is ^vbz+bez+aux++=is
uniquely ^rb++splt++=uniquely
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
the ^ati++++=the
cultural ^jj+atrb+++=cultural
practices ^nns++++=practices
of ^in++++=of
shamanism ^nn+nom+++=shamanism,
, ^zz++++=EXTRAWORD
religious ^jj+atrb+++=religious
rituals ^nns+nom+++=rituals,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
visionary ^nn+nom+++=visionary
experiences ^nns+nom+++=experiences
among ^in++++=among
Mexican ^jj+atrb+++=Mexican
groups ^nns++++=groups
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
Tarahumaras ^np+++??+=Tarahumaras,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Coras ^np+++??+=Coras,
 ^zz++++=EXTRAWORD
And ^cc+cls+++=and
Particularly ^rb++++=particularly
The ^ati++++=the
Huicholes ^np++++=Huicholes
 ^zz++++=(Clavijo
Clavijo ^np++++=EXTRAWORD
018 ^cd++++=2018).
	 ^zz++++=EXTRAWORD
 ^zz++++=EXTRAWORD
