Cheating ^nvbg+++xvbg+=Cheating
interactions ^nns+nom+++=interactions
were ^vbd+bed+aux++=were
found ^vpsv++agls+xvbnx+=found
to ^to+vcmp+++=to
influence ^nn+nom+++=influence
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
species ^nn++++=species
trait ^nn++++=trait
clusters ^nns+nom+++=clusters
in ^in++++=in
the ^ati++++=the
networks ^nns++++=networks.
. ^zz++++=EXTRAWORD
At ^rb++++=At
low ^jj+atrb+++=low
frequencies ^nns++++=frequencies
of ^in++++=of
cheating ^xvbg+++xvbg+=cheating
interactions ^nns+nom+++=interactions
( ^zz++++=(p
p ^zz++++=EXTRAWORD
= ^zz++++==
0.01 ^nn+++??+=0.01,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
p ^zz++++=p
represents ^vbz++++=represents
the ^ati++++=the
proportion ^nn+nom+++=proportion
of ^in++++=of
cheating ^xvbg+++xvbg+=cheating
interactions ^nns+nom+++=interactions),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
simulations ^nns+nom+++=simulations
yielded ^vbd+++xvbn+=yielded
a ^at++++=a
low ^jj+atrb+++=low
mean ^nn++++=mean
number ^nn++++=number
of ^in++++=of
clusters ^nns+nom+++=clusters
( ^zz++++=(2.43
2.43 ^cd++++=EXTRAWORD
0.62 ^nn+++??+=0.62;
; ^zz++++=EXTRAWORD
Fig ^nn++++=Fig.
. ^zz++++=EXTRAWORD
2d ^cd++++=2d-f).
- ^zz++++=EXTRAWORD
f ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
At ^rb++++=At
intermediate ^jj+atrb+++=intermediate
frequencies ^nns++++=frequencies
( ^zz++++=(p
p ^zz++++=EXTRAWORD
= ^zz++++==
0.5 ^nn+++??+=0.5),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
mean ^jj+atrb+++=mean
number ^nn++++=number
of ^in++++=of
trait ^nn++++=trait
clusters ^nns+nom+++=clusters
increased ^vbd+++xvbn+=increased
( ^zz++++=(3.03
3.03 ^cd++++=EXTRAWORD
0.79 ^nn+++??+=0.79).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
majority ^nn+nom+++=majority
of ^in++++=of
interactions ^nns+nom+++=interactions
in ^in++++=in
the ^ati++++=the
network ^nn++++=network
were ^vbd+bed+aux++=were
classified ^vpsv++agls+xvbnx+=classified
as ^ql++++=as
cheating ^jj+++xvbg+=cheating
( ^zz++++=(p
p ^zz++++=EXTRAWORD
= ^zz++++==
0.9 ^nn+++??+=0.9),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
mean ^jj+atrb+++=mean
number ^nn++++=number
of ^in++++=of
trait ^nn++++=trait
clusters ^nns+nom+++=clusters
decreased ^vbd+++xvbn+=decreased,
, ^zz++++=EXTRAWORD
resembling ^vbg+nom++xvbg+=resembling
the ^ati++++=the
values ^nns++++=values
observed ^vbd+vprv++xvbn+=observed
at ^rb++++=at
low ^jj+atrb+++=low
frequencies ^nns++++=frequencies
of ^in++++=of
cheating ^xvbg+++xvbg+=cheating
interactions ^nns+nom+++=interactions
( ^zz++++=(Fig.
fig ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
2d ^cd++++=2d-f).
- ^zz++++=EXTRAWORD
f ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
results ^nns++++=results
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
increasing ^vbg+++xvbg+=increasing
the ^ati++++=the
frequency ^nn++++=frequency
of ^in++++=of
cheating ^xvbg+++xvbg+=cheating
interactions ^nns+nom+++=interactions
initially ^rb+tm+++=initially
promotes ^vbz++++=promotes
trait ^nn++++=trait
disparity ^nn+nom+++=disparity
by ^in++++=by
increasing ^xvbg+++xvbg+=increasing
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
trait ^nn++++=trait
clusters ^nns+nom+++=clusters,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
this ^dt+dem+++=this
effect ^nn++++=effect
is ^vbz+bez+aux++=is
reversed ^vpsv++agls+xvbnx+=reversed
at ^rb++++=at
higher ^jjr+atrb+++=higher
frequencies ^nns++++=frequencies,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
trait ^nn++++=trait
clusters ^nns+nom+++=clusters
are ^vb+ber+aux++=are
reduced ^vbd+++xvbn+=reduced
or ^cc+phrs+++=or
disappear ^vb+seem+++=disappear.
. ^zz++++=EXTRAWORD
