Anatomical ^jj+atrb+++=Anatomical
analysis ^nn++++=analysis
using ^vwbg+++xvbg+=using
light ^jj+atrb+++=light
microscopy ^nn++++=microscopy
of ^in++++=of
seeds ^nns++++=seeds
collected ^vwbn+++xvbn+=collected
at ^rb++++=at
different ^jj+atrb+++=different
days ^nns++++=days
after ^in++++=after
anthesis ^nns+++??+=anthesis
( ^zz++++=(DAA),
daa ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
subjected ^xvbn+++xvbn+=subjected
to ^in++++=to
both ^abx++++=both
cryopreservation ^nn+nom+++=cryopreservation
and ^cc++++=and
non ^&fw++++=non-cryopreservation
- ^zz++++=EXTRAWORD
cryopreservation ^nn+nom+++=EXTRAWORD
treatments ^nns+nom+++=treatments,
, ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
reveal ^vb+vprv+++=reveal
evidence ^nn+nom+++=evidence
of ^in++++=of
mechanical ^jj+atrb+++=mechanical
damage ^nn++++=damage,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
cell ^nn++++=cell
wall ^nn++++=wall
rupture ^nn++++=rupture
or ^cc++++=or
disruption ^nn+nom+++=disruption
of ^in++++=of
the ^ati++++=the
membrane ^nn++++=membrane
system ^nn++++=system.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
variations ^nns+nom+++=variations
were ^vbd+bed+aux++=were
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
the ^ati++++=the
histochemical ^jj+atrb+++=histochemical
staining ^nn++++=staining
patterns ^nns++++=patterns,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
differences ^nns+nom+++=differences
in ^in++++=in
the ^ati++++=the
distribution ^nn+nom+++=distribution
or ^cc++++=or
concentration ^nn+nom+++=concentration
of ^in++++=of
chemical ^jj+atrb+++=chemical
compounds ^nns++++=compounds
within ^in++++=within
the ^ati++++=the
seed ^nn++++=seed
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
endosperm ^nn+++??+=endosperm,
, ^zz++++=EXTRAWORD
aleurone ^nn++++=aleurone
layer ^nn++++=layer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
embryo ^nn++++=embryo
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
