Despite ^in++++=Despite
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
some ^dti++++=some
mainstream ^nn++++=mainstream
economists ^nns+nom+++=economists
have ^vb+hv+aux++=have
begun ^vprf+++xvbnx+=begun
to ^to++++=to
support ^vbi++++=support
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
capital ^nn++++=capital
controls ^nns++++=controls
and ^cc++++=and
macroprudential ^jj+atrb+++=macroprudential
policies ^nns++++=policies
with ^in++++=with
objectives ^nns++++=objectives
similar ^jj++++=similar
to ^in++++=to
those ^dt+dem+++=those
advocated ^vpsv++by+xvbn+=advocated
by ^in++++=by
Keynesian ^np+++??+=Keynesian
economists ^nns+nom+++=economists,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
study ^nn++++=study
indicates ^nns+nom+++=indicates
that ^tht+vcmp+++=that
the ^ati++++=the
underlying ^jj+atrb++xvbg+=underlying
theoretical ^jj+atrb+++=theoretical
foundations ^nns+nom+++=foundations
of ^in++++=of
these ^dt+dem+++=these
approaches ^nns++++=approaches
remain ^vb++++=remain
distinct ^jj++++=distinct.
. ^zz++++=EXTRAWORD
Within ^in++++=Within
the ^ati++++=the
Keynesian ^np+++??+=Keynesian
and ^cc++++=and
Structuralist ^np+nom++??+=Structuralist
tradition ^nn+nom+++=tradition,
, ^zz++++=EXTRAWORD
the ^ati++++=the
primary ^jj+atrb+++=primary
justification ^nn+nom+++=justification
for ^in++++=for
capital ^nn++++=capital
controls ^nns++++=controls
is ^vbz+bez+aux++=is
rooted ^vpsv++agls+xvbnx+=rooted
in ^in++++=in
the ^ati++++=the
structural ^jj+atrb+++=structural
asymmetry ^nn++++=asymmetry
of ^in++++=of
the ^ati++++=the
contemporary ^jj++++=contemporary
international ^jj+atrb+++=international
monetary ^jj+atrb+++=monetary
and ^cc+phrs+++=and
financial ^jj+atrb+++=financial
system ^nn++++=system,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
volatility ^nn+nom+++=volatility
of ^in++++=of
capital ^nn++++=capital
flows ^nns++++=flows
and ^cc++++=and
their ^pp$+pp3+++=their
adverse ^jj+atrb+++=adverse
effects ^nns++++=effects
are ^vb+ber+aux++=are
largely ^rb++splt++=largely
attributed ^vpsv++agls+xvbnx+=attributed
to ^in++++=to
the ^ati++++=the
existence ^nn+nom+++=existence
of ^in++++=of
a ^at++++=a
currency ^nn++++=currency
hierarchy ^nn++++=hierarchy
. ^zz++++=.
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
the ^ati++++=the
recent ^jj+atrb+++=recent
theoretical ^jj+atrb+++=theoretical
shift ^nn++++=shift
within ^in++++=within
mainstream ^nn++++=mainstream
economics ^nn++++=economics
is ^vbz+bez+aux++=is
predominantly ^rb++splt++=predominantly
grounded ^vpsv++agls+xvbnx+=grounded
in ^in++++=in
the ^ati++++=the
concept ^nn++++=concept
of ^in++++=of
externality ^nn+nom+++=externality
correction ^nn+nom+++=correction,
, ^zz++++=EXTRAWORD
with ^in++++=with
research ^nn++++=research
methodologies ^nns+++??+=methodologies
that ^tht+rel+subj++=that
emphasize ^vb++++=emphasize
the ^ati++++=the
behavior ^nn++++=behavior
of ^in++++=of
individual ^jj+atrb+++=individual
agents ^nns++++=agents
and ^cc++++=and
their ^pp$+pp3+++=their
responses ^nns++++=responses
to ^in++++=to
government ^nn+nom+++=government
interventions ^nns+nom+++=interventions.
. ^zz++++=EXTRAWORD
