It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
also ^rb++++=also
important ^jj+pred+++=important
to ^to+jcmp+++=to
consider ^nn+nom+++=consider
that ^tht+vcmp+++=that
turn ^nn++++=turn
allocation ^nn+nom+++=allocation
can ^md+pos+++=can
occur ^vb++++=occur
in ^in++++=in
conversation ^nn+nom+++=conversation.
. ^zz++++=EXTRAWORD
Unlike ^in++++=Unlike
the ^ati++++=the
prototypical ^jj+atrb+++=prototypical
sequence ^nn+nom+++=sequence
of ^in++++=of
Question ^nn+nom+++=Question
1 ^zz++++=1-Answer
- ^zz++++=EXTRAWORD
answer ^nn++++=EXTRAWORD
1 ^zz++++=1-Question
- ^zz++++=EXTRAWORD
question ^nn+nom+++=EXTRAWORD
2 ^zz++++=2-Answer
- ^zz++++=EXTRAWORD
answer ^nn++++=EXTRAWORD
2 ^zz++++=2
( ^zz++++=(Q1-A1-Q2-A2),
q1 ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
a1 ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
q2 ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
a2 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
all ^abn++++=all
first ^od++++=first
pair ^nn++++=pair
parts ^nns++++=parts
necessarily ^rb++++=necessarily
receive ^vb++++=receive
their ^pp$+pp3+++=their
corresponding ^jj+++xvbg+=corresponding
second ^od++++=second
pair ^nn++++=pair
parts ^nns++++=parts
immediately ^rb+tm+++=immediately.
. ^zz++++=EXTRAWORD
In ^in++++=In
some ^dti++++=some
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
the ^ati++++=the
response ^nn++++=response
to ^in++++=to
an ^at++++=an
initial ^jj+atrb+++=initial
question ^nn+nom+++=question
is ^vbz+bez+aux++=is
delayed ^vpsv++agls+xvbnx+=delayed
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
intervention ^nn+nom+++=intervention
of ^in++++=of
another ^dt++++=another
question ^nn+nom+++=question-answer
- ^zz++++=EXTRAWORD
answer ^nn++++=EXTRAWORD
sequence ^nn+nom+++=sequence.
. ^zz++++=EXTRAWORD
Yule ^np++++=Yule
( ^zz++++=(1996,
1996 ^cd+date+++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
77 ^cd++++=77)
) ^zz++++=EXTRAWORD
describes ^vbz++++=describes
this ^dt+dem+++=this
as ^in++++=as
a ^at++++=a
sequence ^nn+nom+++=sequence
taking ^vwbg+++xvbg+=taking
the ^ati++++=the
form ^nn++++=form
Q1 ^np+++??+=Q1-Q2-A2-A1,
- ^zz++++=EXTRAWORD
q2 ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
a2 ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
a1 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
intervening ^jj+atrb++xvbg+=intervening
pair ^nn++++=pair
( ^zz++++=(Q2-A2)
q2 ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
a2 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
referred ^vpsv++agls+xvbnx+=referred
to ^in++++=to
as ^ql++++=as
an ^at++++=an
insertion ^nn+nom+++=insertion
sequence ^nn+nom+++=sequence.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
structure ^nn++++=structure,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Q2 ^np+++??+=Q2-A2
- ^zz++++=EXTRAWORD
a2 ^nn+++??+=EXTRAWORD
pair ^nn++++=pair
is ^vbz+bez+aux++=is
embedded ^vpsv++agls+xvbnx+=embedded
within ^in++++=within
the ^ati++++=the
