Sections ^nns+nom+++=Sections
of ^in++++=of
5 ^zz++++=5
m ^zz++++=m
thickness ^nns+nom+++=thickness
were ^vbd+bed+aux++=were
prepared ^vpsv++agls+xvbnx+=prepared
using ^vbg+++xvbg+=using
a ^at++++=a
hand ^nn++++=hand-rotating
- ^zz++++=EXTRAWORD
rotating ^vbg+++xvbg+=EXTRAWORD
microtome ^nn+++??+=microtome
( ^zz++++=(Leica
leica ^nn+++??+=EXTRAWORD
Rm ^np+++??+=RM
2135 ^cd++++=2135)
) ^zz++++=EXTRAWORD
equipped ^vbd+++xvbn+=equipped
with ^in++++=with
tungsten ^nn++++=tungsten
blades ^nns++++=blades.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sections ^nns+nom+++=sections
were ^vbd+bed+aux++=were
mounted ^vpsv++agls+xvbnx+=mounted
on ^in++++=on
slides ^vbz++++=slides
and ^cc+phrs+++=and
stained ^vpsv++agls+xvbn+=stained
with ^in++++=with
Toluidine ^np+++??+=Toluidine
Blue ^jj++++=Blue
( ^zz++++=(TBO)
tbo ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
to ^to++++=to
detect ^vbi++++=detect
acid ^jj+atrb+++=acid
polysaccharides ^nns+++??+=polysaccharides
and ^cc++++=and
with ^in++++=with
Lugol ^np+++??+=Lugol
s ^zz++++=s
solution ^nn+nom+++=solution
to ^to++++=to
identify ^vbi++++=identify
starch ^nn++++=starch.
. ^zz++++=EXTRAWORD
Microscopic ^jj+atrb+++=Microscopic
analysis ^nn++++=analysis
was ^vbd+bedz+aux++=was
performed ^vpsv++agls+xvbnx+=performed
using ^vbg+++xvbg+=using
an ^at++++=an
optical ^jj+atrb+++=optical
microscope ^nn++++=microscope
( ^zz++++=(Olympus
olympus ^nns+++??+=EXTRAWORD
Bx40 ^np+++??+=BX40),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
images ^nns++++=images
were ^vbd+bed+aux++=were
captured ^vpsv++agls+xvbnx+=captured
with ^in++++=with
an ^at++++=an
integrated ^jj+atrb++xvbn+=integrated
imaging ^jj+atrb++xvbg+=imaging
system ^nn++++=system
( ^zz++++=(Olympus
olympus ^nns+++??+=EXTRAWORD
Q ^zz++++=Q-Color-3C,
 ^zz++++=EXTRAWORD
Color ^nn++++=EXTRAWORD
 ^zz++++=EXTRAWORD
c ^cd++++=EXTRAWORD
 ^zz++++=EXTRAWORD
Am ^vb+bem+vrb++=Am
Rica ^nn++++=rica
Ind. ^np++++=Ind.).
	 ^zz++++=EXTRAWORD
 ^zz++++=EXTRAWORD
