While ^cs+sub+++=While
the ^ati++++=the
lack ^nn++++=lack
of ^in++++=of
transparency ^nn++++=transparency
and ^cc++++=and
clarity ^nn+nom+++=clarity
regarding ^in++++=regarding
the ^ati++++=the
extent ^nn++++=extent
to ^to++++=to
which ^whp+who+++=which
journals ^nns+nom+++=journals
adhere ^vb++++=adhere
to ^in++++=to
scholarly ^jj+atrb+++=scholarly
standards ^nns++++=standards
is ^vbz+bez+vrb++=is
a ^at++++=a
widespread ^jj+atrb+++=widespread
issue ^nn++++=issue
in ^in++++=in
scholarly ^jj+atrb+++=scholarly
publishing ^nvbg+++xvbg+=publishing,
, ^zz++++=EXTRAWORD
the ^ati++++=the
implementation ^nn+nom+++=implementation
of ^in++++=of
verification ^nn+nom+++=verification
and ^cc++++=and
communication ^nn+nom+++=communication
systems ^nns++++=systems
can ^md+pos+++=can
contribute ^vb++++=contribute
to ^to++++=to
reducing ^vbi++++=reducing
the ^ati++++=the
misclassification ^nn+nom+++=misclassification
of ^in++++=of
journals ^nns+nom+++=journals
as ^in++++=as
predatory ^nn++++=predatory.
. ^zz++++=EXTRAWORD
Making ^vbg+++xvbg+=Making
journal ^nn++++=journal
adherence ^nn+nom+++=adherence
to ^in++++=to
scholarly ^jj+atrb+++=scholarly
standards ^nns++++=standards
explicit ^jj++++=explicit
and ^cc++++=and
publicly ^rb++++=publicly
accessible ^jj++++=accessible
may ^md+pos+++=may
promote ^vb++++=promote
broader ^jjr+atrb+++=broader
utilization ^nn+nom+++=utilization
of ^in++++=of
this ^dt+dem+++=this
information ^nn+nom+++=information.
. ^zz++++=EXTRAWORD
Journalists ^nns+nom+++=Journalists
and ^cc++++=and
other ^ap++++=other
professionals ^nns+nom+++=professionals
may ^md+pos+++=may
increasingly ^rb++splt++=increasingly
consult ^vb++++=consult
these ^dt+dem+++=these
labels ^nns++++=labels
before ^in++++=before
referencing ^xvbg+++xvbg+=referencing
research ^nn++++=research,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
incorporating ^vbg+++xvbg+=incorporating
the ^ati++++=the
interpretation ^nn+nom+++=interpretation
of ^in++++=of
such ^abl++++=such
labels ^nns++++=labels
into ^in++++=into
science ^nn+nom+++=science
education ^nn+nom+++=education
could ^md+pos+++=could
enhance ^nn+nom+++=enhance
students ^nns++++=students
understanding ^vwbg+++xvbg+=understanding
of ^in++++=of
research ^nn++++=research
quality ^nn+nom+++=quality.
. ^zz++++=EXTRAWORD
Establishing ^vbg+++xvbg+=Establishing
an ^at++++=an
industry ^nn++++=industry
standard ^nn++++=standard
for ^in++++=for
scholarly ^nn++++=scholarly
publishing ^vwbg+++xvbg+=publishing
aligns ^nns+++??+=aligns
with ^in++++=with
the ^ati++++=the
goals ^nns++++=goals
of ^in++++=of
universal ^nn+nom+++=universal
open ^jj+atrb+++=open
access ^nn++++=access
and ^cc++++=and
increased ^vbd+++xvbn+=increased
public ^jj+atrb+++=public
support ^nn++++=support
for ^in++++=for
research ^nn++++=research.
. ^zz++++=EXTRAWORD
