Data ^nns++++=Data
from ^in++++=from
Pnad ^np+++??+=PNAD
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
the ^ati++++=the
proportion ^nn+nom+++=proportion
of ^in++++=of
employed ^xvbn+++xvbn+=employed
individuals ^nns+nom+++=individuals
not ^xnot++not++=not
on ^in++++=on
leave ^vb++++=leave
who ^whp+who+++=who
were ^vbd+bed+aux++=were
working ^vbg+++xvbgx+=working
remotely ^rb++++=remotely
in ^in++++=in
Brazil ^np++++=Brazil
was ^vbd+bedz+vrb++=was
13.3 ^cd++++=13.3%
% ^zz++++=EXTRAWORD
in ^in++++=in
May ^md+pos+++=May,
, ^zz++++=EXTRAWORD
declining ^vb+++xvbg+=declining
to ^to+vcmp+++=to
12.7 ^cd++++=12.7%
% ^zz++++=EXTRAWORD
in ^in++++=in
June ^nr++++=June,
, ^zz++++=EXTRAWORD
11.7 ^cd++++=11.7%
% ^zz++++=EXTRAWORD
in ^in++++=in
July ^nr++++=July,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
11.1 ^cd++++=11.1%
% ^zz++++=EXTRAWORD
in ^in++++=in
August ^nr++++=August.
. ^zz++++=EXTRAWORD
In ^in++++=In
absolute ^jj+atrb+++=absolute
terms ^nns++++=terms,
, ^zz++++=EXTRAWORD
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
remote ^jj+atrb+++=remote
workers ^nns+nom+++=workers
was ^vbd+bedz+vrb++=was
8.7 ^cd++++=8.7
million ^cd++++=million
in ^in++++=in
may ^md+pos+++=May
and ^cc++++=and
decreased ^vbd+++xvbn+=decreased
to ^to++++=to
8.4 ^cd++++=8.4
million ^cd++++=million
in ^in++++=in
august ^nr++++=August.
. ^zz++++=EXTRAWORD
