Regarding ^in++++=Regarding
the ^ati++++=the
effects ^nns++++=effects
on ^in++++=on
the ^ati++++=the
labor ^nn++++=labor
market ^nn++++=market,
, ^zz++++=EXTRAWORD
evidence ^nn+nom+++=evidence
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
be ^vbi++vrb++=be
significant ^jj+pred+++=significant
and ^cc+phrs+++=and
persistent ^jj++++=persistent
( ^zz++++=(Campello
campello ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
prominent ^jj+atrb+++=prominent
area ^nn++++=area
of ^in++++=of
research ^nn++++=research
has ^vbz+hvz+aux++=has
focused ^vprf+++xvbnx+=focused
on ^in++++=on
the ^ati++++=the
unequal ^jj+atrb+++=unequal
distribution ^nn+nom+++=distribution
of ^in++++=of
the ^ati++++=the
negative ^nn++++=negative
impacts ^vbz+++??+=impacts
associated ^vbd+++xvbn+=associated
with ^in++++=with
the ^ati++++=the
Coronavirus ^np+++??+=Coronavirus
pandemic ^nn++++=pandemic,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
growing ^jj+atrb++xvbg+=growing
consensus ^nn++++=consensus
that ^tht+rel+obj++=that
these ^dt+dem+++=these
effects ^nns++++=effects
are ^vb+ber+vrb++=are
not ^xnot++not++=not
uniform ^jj++++=uniform
and ^cc++++=and
have ^vb+hv+vrb++=have
the ^ati++++=the
potential ^nn++++=potential
to ^to+ncmp+++=to
exacerbate ^nn+nom+++=exacerbate
existing ^jj+atrb++xvbg+=existing
inequalities ^nns+nom+++=inequalities
( ^zz++++=(Adams-Prassl
adams ^np++++=EXTRAWORD
- ^zz++++=EXTRAWORD
prassl ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020;
; ^zz++++=EXTRAWORD
Bartik ^np+++??+=Bartik
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020;
; ^zz++++=EXTRAWORD
Brussevich ^np+++??+=Brussevich
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020;
; ^zz++++=EXTRAWORD
Crowley ^np+++??+=Crowley
& ^zz++++=&
Doran ^np+++??+=Doran,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020;
; ^zz++++=EXTRAWORD
Gallacher ^np+nom++??+=Gallacher
& ^zz++++=&
Hossain ^np+++??+=Hossain,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020;
; ^zz++++=EXTRAWORD
Gaudecker ^np+nom++??+=Gaudecker
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020;
; ^zz++++=EXTRAWORD
Montenovo ^np+++??+=Montenovo
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020;
; ^zz++++=EXTRAWORD
yasenov ^np++++=Yasenov,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
