Given ^vbd+++xvbn+=Given
the ^ati++++=the
significant ^jj+atrb+++=significant
impact ^nn++++=impact
of ^in++++=of
Putin ^np++++=Putin's
's ^$++++=EXTRAWORD
aggression ^nn++++=aggression,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
guiding ^jj+atrb++xvbg+=guiding
principle ^nn++++=principle
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
all ^abn++++=all
necessary ^jj+atrb+++=necessary
measures ^nns++++=measures
will ^md+prd+++=will
be ^vb+be+aux++=be
taken ^vpsv++agls+xvbn+=taken
to ^to+vcmp+++=to
ensure ^vb+vprv+++=ensure
peace ^nn++++=peace
in ^in++++=in
europe ^np++++=Europe.
. ^zz++++=EXTRAWORD
