Despite ^in++++=Despite
the ^ati++++=the
low ^jj+atrb+++=low
species ^nn++++=species
richness ^nns+nom+++=richness
and ^cc++++=and
the ^ati++++=the
limited ^jj+atrb++xvbn+=limited
number ^nn++++=number
of ^in++++=of
adult ^jj+atrb+++=adult
individuals ^nns+nom+++=individuals
collected ^vwbn+++xvbn+=collected,
, ^zz++++=EXTRAWORD
a ^at++++=a
cluster ^nn+nom+++=cluster
analysis ^nn++++=analysis
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted,
, ^zz++++=EXTRAWORD
revealing ^vbg+nom++xvbg+=revealing
an ^at++++=an
82 ^cd++++=82%
% ^zz++++=EXTRAWORD
similarity ^nn+nom+++=similarity
in ^in++++=in
family ^nn++++=family
composition ^nn+nom+++=composition
between ^in++++=between
the ^ati++++=the
Ia ^np+++??+=IA
and ^cc++++=and
Da ^np+++??+=DA
treatments ^nns+nom+++=treatments
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
4 ^zz++++=4).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
Ia ^np+++??+=IA
treatment ^nn+nom+++=treatment
exhibited ^vbd+++xvbn+=exhibited
the ^ati++++=the
highest ^jjt+atrb+++=highest
number ^nn++++=number
of ^in++++=of
species ^nn++++=species
( ^zz++++=(14),
14 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
Da ^np+++??+=DA
with ^in++++=with
nine ^cd++++=nine
species ^nn++++=species
and ^cc++++=and
Fa ^nn++++=FA
with ^in++++=with
four ^cd++++=four
species ^nn++++=species
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
1 ^zz++++=1);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
the ^ati++++=the
treatments ^nns+nom+++=treatments
were ^vbd+bed+aux++=were
not ^xnot++not++=not
statistically ^rb++++=statistically
differentiated ^vpsv++agls+xvbn+=differentiated
from ^in++++=from
each ^dt++++=each
other ^ap++++=other.
. ^zz++++=EXTRAWORD
