Several ^ap++++=Several
studies ^nns++++=studies
have ^vb+hv+aux++=have
reported ^vprf+++xvbnx+=reported
increased ^vprf+++xvbn+=increased
seed ^nn++++=seed
germination ^nn+nom+++=germination
percentages ^nns+nom+++=percentages
following ^vwbg+++xvbg+=following
cryopreservation ^nn+nom+++=cryopreservation
in ^in++++=in
various ^jj+atrb+++=various
species ^nn++++=species,
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
that ^tht+vcmp+++=that
exposure ^nn++++=exposure
to ^to++++=to
ultra ^rb++++=ultra-low
- ^zz++++=EXTRAWORD
low ^jj+atrb+++=EXTRAWORD
temperatures ^nns++++=temperatures
during ^in++++=during
the ^ati++++=the
cooling ^jj+atrb++xvbg+=cooling
process ^nns+nom+++=process
may ^md+pos+++=may
contribute ^vb++++=contribute
to ^in++++=to
the ^ati++++=the
breaking ^jj+++xvbg+=breaking
of ^in++++=of
seed ^nn++++=seed
dormancy ^nn+++??+=dormancy.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
Rocha ^np+++??+=Rocha
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2009)
2009 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
observed ^vbn+vprv++xvbn+=observed
that ^tht+vcmp+++=that
cryopreservation ^nn+nom+++=cryopreservation
of ^in++++=of
Gossypium ^np+++??+=Gossypium
hirsutum ^nn+++??+=hirsutum
L ^zz++++=L.
. ^zz++++=EXTRAWORD
seeds ^nns++++=seeds
resulted ^vbd+++xvbn+=resulted
in ^in++++=in
higher ^jjr+atrb+++=higher
germination ^nn+nom+++=germination
rates ^nns++++=rates
and ^cc++++=and
improved ^jj+atrb++xvbn+=improved
seedling ^nn+nom+++=seedling
vigor ^nn++++=vigor.
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
Tarr ^np+++??+=Tarr
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2007)
2007 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=reported
that ^tht+vcmp+++=that
cryopreservation ^nn+nom+++=cryopreservation
led ^vbd+++xvbn+=led
to ^in++++=to
an ^at++++=an
increased ^jj+atrb++xvbn+=increased
germination ^nn+nom+++=germination
percentage ^nn+nom+++=percentage
in ^in++++=in
E ^zz++++=E.
. ^zz++++=EXTRAWORD
subsecundum ^nn+++??+=subsecundum
( ^zz++++=(Baker)
baker ^np++++=EXTRAWORD
) ^zz++++=EXTRAWORD
mez ^np++++=Mez
seeds ^nns++++=seeds
with ^in++++=with
a ^at++++=a
moisture ^nn++++=moisture
content ^nn++++=content
of ^in++++=of
12.7 ^cd++++=12.7%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
