Conversely ^rb+cnj+++=Conversely,
, ^zz++++=EXTRAWORD
in ^in++++=in
Bel ^np+++??+=Bel
m ^zz++++=m,
, ^zz++++=EXTRAWORD
54 ^cd++++=54%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
workforce ^nn+++??+=workforce
has ^vbz+hvz+aux++=has
completed ^vprf+++xvbnx+=completed
high ^np++++=high
school ^nn++++=school,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
30 ^cd++++=30%
% ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
not ^xnot++not++=not
completed ^xvbn+++xvbn+=completed
high ^np++++=high
school ^nn++++=school.
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
in ^in++++=in
Campo ^np+++??+=Campo
Belo ^np+++??+=Belo,
, ^zz++++=EXTRAWORD
the ^ati++++=the
workforce ^nn+++??+=workforce
is ^vbz+bez+vrb++=is
also ^rb++++=also
predominantly ^rb++++=predominantly
concentrated ^jj+++xvbn+=concentrated
in ^in++++=in
categories ^nns++++=categories
with ^in++++=with
lower ^jjr+atrb+++=lower
levels ^nns++++=levels
of ^in++++=of
educational ^jj+atrb+++=educational
attainment ^nn+nom+++=attainment.
. ^zz++++=EXTRAWORD
