These ^dt+dem+++=These
results ^nns++++=results
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
the ^ati++++=the
timing ^nn++++=timing
of ^in++++=of
fruit ^nn++++=fruit
collection ^nn+nom+++=collection
and ^cc++++=and
seed ^nn++++=seed
extraction ^nn+nom+++=extraction
in ^in++++=in
V ^zz++++=V.
. ^zz++++=EXTRAWORD
reitzii ^nn+++??+=reitzii
is ^vbz+bez+vrb++=is
a ^at++++=a
significant ^jj+atrb+++=significant
factor ^nn++++=factor
influencing ^vwbg+++xvbg+=influencing
seed ^nn++++=seed
quality ^nn+nom+++=quality.
. ^zz++++=EXTRAWORD
The ^ati++++=The
highest ^jjt+atrb+++=highest
germination ^nn+nom+++=germination
percentages ^nns+nom+++=percentages
and ^cc++++=and
germination ^nn+nom+++=germination
speed ^nn++++=speed
index ^nn++++=index
( ^zz++++=(GSI)
gsi ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
lower ^jjr+atrb+++=lower
seed ^nn++++=seed
water ^nn++++=water
content ^nn++++=content,
, ^zz++++=EXTRAWORD
increased ^jj+atrb++xvbn+=increased
reserve ^nn++++=reserve
accumulation ^nn+nom+++=accumulation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
embryo ^nn++++=embryo
maturity ^nn+nom+++=maturity.
. ^zz++++=EXTRAWORD
Similar ^jj+atrb+++=Similar
patterns ^nns++++=patterns
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
reported ^vpsv++agls+xvbnx+=reported
for ^in++++=for
Moringa ^np+++??+=Moringa
oleifera ^nn+++??+=oleifera
Lam ^np+++??+=Lam.
. ^zz++++=EXTRAWORD
seeds ^nns++++=seeds
( ^zz++++=(Agustini
agustini ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
data ^nns++++=data
from ^in++++=from
Guimar ^np+++??+=Guimar
es ^&fw++++=es
and ^cc++++=and
Barbosa ^np+++??+=Barbosa
( ^zz++++=(2007)
2007 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
also ^rb++++=also
support ^vb++++=support
the ^ati++++=the
association ^nn+nom+++=association
between ^in++++=between
increased ^vbd+++xvbn+=increased
Gsi ^np+++??+=GSI
and ^cc++++=and
fruit ^nn++++=fruit
maturation ^nn+nom+++=maturation
in ^in++++=in
Machaerium ^np+++??+=Machaerium
brasiliensis ^nns+++??+=brasiliensis
Vogel ^np+++??+=Vogel
seeds ^nns++++=seeds.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
natural ^jj+atrb+++=natural
desiccation ^nn+nom+++=desiccation
plays ^nns++++=plays
a ^at++++=a
critical ^jj+atrb+++=critical
role ^nn++++=role
in ^in++++=in
determining ^xvbg+++xvbg+=determining
seed ^nn++++=seed
quality ^nn+nom+++=quality
and ^cc++++=and
vigor ^nn++++=vigor,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
should ^md+nec+++=should
be ^vb+be+aux++=be
considered ^vbd+vprv++xvbn+=considered
in ^in++++=in
conservation ^nn+nom+++=conservation
strategies ^nns++++=strategies,
, ^zz++++=EXTRAWORD
including ^in++++=including
cryopreservation ^nn+nom+++=cryopreservation.
. ^zz++++=EXTRAWORD
