Among ^in++++=Among
the ^ati++++=the
11 ^cd++++=11
host ^nn++++=host
specimens ^nns++++=specimens
examined ^vwbn+++xvbn+=examined,
, ^zz++++=EXTRAWORD
the ^ati++++=the
individual ^nn++++=individual
collected ^vwbn+++xvbn+=collected
at ^rb++++=at
the ^ati++++=the
mouth ^nn++++=mouth
of ^in++++=of
the ^ati++++=the
Mutambala ^np+++??+=Mutambala
River ^npl++++=River
exhibited ^vbd+++xvbn+=exhibited
the ^ati++++=the
highest ^jjt+atrb+++=highest
level ^nn++++=level
of ^in++++=of
parasitism ^nn+nom+++=parasitism,
, ^zz++++=EXTRAWORD
harboring ^jj+++xvbg+=harboring
a ^at++++=a
total ^nn++++=total
of ^in++++=of
286 ^cd++++=286
monogeneans ^nns+nom+++=monogeneans,
, ^zz++++=EXTRAWORD
comprising ^jj+++xvbg+=comprising
269 ^cd++++=269
Bagrobdella ^np+++??+=Bagrobdella
vanhovei ^nn+++??+=vanhovei
and ^cc++++=and
17 ^cd++++=17
B ^zz++++=B.
. ^zz++++=EXTRAWORD
vansteenbergei ^nn+++??+=vansteenbergei.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
the ^ati++++=the
remaining ^jj+++xvbg+=remaining
ten ^cd++++=ten
specimens ^nns++++=specimens,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
near ^in+pl+++=near
the ^ati++++=the
Orthodox ^jj+atrb+++=Orthodox
Church ^nn++++=Church
of ^in++++=of
Uvira ^np+++??+=Uvira,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
parasitized ^vpsv++agls+xvbnx+=parasitized
exclusively ^rb++++=exclusively
by ^in++++=by
B ^zz++++=B.
. ^zz++++=EXTRAWORD
vanhovei ^nn+++??+=vanhovei.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
these ^dt+pdem+++=these,
, ^zz++++=EXTRAWORD
four ^cd++++=four
individuals ^nns+nom+++=individuals
were ^vbd+bed+aux++=were
uninfected ^vpsv++agls+xvbnx+=uninfected,
, ^zz++++=EXTRAWORD
three ^cd++++=three
harbored ^vbd+++xvbn+=harbored
a ^at++++=a
single ^jj+atrb+++=single
parasite ^nn++++=parasite
each ^dt++++=each,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
remaining ^jj+++xvbg+=remaining
three ^cd++++=three
contained ^jj+++xvbn+=contained
five ^cd++++=five,
, ^zz++++=EXTRAWORD
six ^cd++++=six,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
35 ^cd++++=35
parasites ^nns++++=parasites,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
an ^at++++=an
aggregated ^jj+atrb++xvbn+=aggregated
distribution ^nn+nom+++=distribution
pattern ^nn++++=pattern
is ^vbz+bez+aux++=is
frequently ^rb++splt++=frequently
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
parasite ^nn++++=parasite
populations ^nns+nom+++=populations
infecting ^vwbg+++xvbg+=infecting
fish ^nns++++=fish
hosts ^nns++++=hosts
( ^zz++++=(Dold
dold ^nn+++??+=EXTRAWORD
& ^zz++++=&
Holland ^np++++=Holland
2011 ^cd++++=2011)
) ^zz++++=EXTRAWORD
and ^cc++++=and
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
recently ^rb+tm+splt++=recently
documented ^vpsv++agls+xvbn+=documented
in ^in++++=in
Brachyplatystoma ^np+++??+=Brachyplatystoma
vaillantii ^nn+++??+=vaillantii
Valenciennes ^np++++=Valenciennes,
, ^zz++++=EXTRAWORD
1840 ^cd+date+++=1840
( ^zz++++=(Siluriformes,
siluriformes ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Pimelodidae ^np+++??+=Pimelodidae)
) ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Amazon ^np+++??+=Amazon
basin ^nn++++=basin
( ^zz++++=(Brito-Junior
brito ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
junior ^jj+atrb+++=EXTRAWORD
& ^zz++++=&
tavares ^np++++=Tavares-Dias
- ^zz++++=EXTRAWORD
dias ^nns++++=EXTRAWORD
2021 ^cd++++=2021).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
