Given ^vprf+++xvbn+=Given
that ^dt+dem+++=that
Brazil ^np++++=Brazil
implemented ^vwbn+++xvbn+=implemented
the ^ati++++=the
most ^ql+emph+++=most
extensive ^jj+atrb+++=extensive
capital ^nn++++=capital
controls ^vbz++++=controls
following ^jj+++xvbg+=following
the ^ati++++=the
global ^jj+atrb+++=global
financial ^jj+atrb+++=financial
crisis ^nn++++=crisis,
, ^zz++++=EXTRAWORD
an ^at++++=an
analysis ^nn++++=analysis
of ^in++++=of
this ^dt+dem+++=this
case ^nn++++=case
provides ^vbz+vsua+++=provides
significant ^jj+atrb+++=significant
insights ^nns++++=insights
into ^in++++=into
the ^ati++++=the
subject ^nn++++=subject.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast
to ^to++++=to
cross ^vbi++++=cross-country
- ^zz++++=EXTRAWORD
country ^nn++++=EXTRAWORD
studies ^nns++++=studies
that ^tht+rel+obj++=that
focus ^nn++++=focus
on ^in++++=on
the ^ati++++=the
effectiveness ^nns+nom+++=effectiveness
and ^cc++++=and
spillover ^jjr+atrb+++=spillover
effects ^nns++++=effects
of ^in++++=of
capital ^nn++++=capital
controls ^nns++++=controls,
, ^zz++++=EXTRAWORD
Forbes ^np++++=Forbes
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2016)
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
specifically ^rb++++=specifically
investigate ^nn+nom+++=investigate
whether ^cs+who+++=whether
Brazil ^np++++=Brazil
s ^zz++++=s
controls ^vbz++++=controls
during ^in++++=during
2006 ^cd++++=2006
2013 ^cd++++=2013
produced ^vbd+++xvbn+=produced
spillover ^jjr+atrb+++=spillover
effects ^nns++++=effects
on ^in++++=on
other ^ap++++=other
economies ^nns++++=economies,
, ^zz++++=EXTRAWORD
in ^in++++=in
addition ^nn+nom+++=addition
to ^in"++++=to
their ^pp$+pp3+++=their
direct ^jj+atrb+++=direct
impact ^nn++++=impact
on ^in++++=on
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
capital ^nn++++=capital
account ^nn++++=account.
. ^zz++++=EXTRAWORD
The ^ati++++=The
regression ^nn++++=regression
analysis ^nn++++=analysis
conducted ^vwbn+++xvbn+=conducted
by ^in++++=by
Forbes ^np++++=Forbes
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2016)
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
indicates ^nns+nom+++=indicates
that ^tht+vcmp+++=that
the ^ati++++=the
introduction ^nn+nom+++=introduction
of ^in++++=of
the ^ati++++=the
Iof ^np+++??+=IOF
tax ^nn++++=tax
during ^in++++=during
the ^ati++++=the
sample ^nn++++=sample
period ^nn++++=period
led ^vbd+++xvbn+=led
to ^in++++=to
a ^at++++=a
reduction ^nn+nom+++=reduction
in ^in++++=in
institutional ^jj+atrb+++=institutional
investors ^nns++++=investors
holdings ^nns++++=holdings
of ^in++++=of
the ^ati++++=the
asset ^nn++++=asset
class ^nn++++=class
targeted ^vwbn+++xvbn+=targeted
by ^in++++=by
the ^ati++++=the
controls ^nns++++=controls,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
fixed ^jj+atrb++xvbn+=fixed
income ^nn++++=income
instruments ^nns+nom+++=instruments.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
results ^nns++++=results
show ^vb+vprv+++=show
that ^tht+vcmp+++=that
the ^ati++++=the
reduction ^nn+nom+++=reduction
in ^in++++=in
investor ^nn++++=investor
positions ^nns+nom+++=positions
was ^vbd+bedz+vrb++=was
even ^rb++++=even
more ^rbr++++=more
pronounced ^jj+++xvbn+=pronounced
in ^in++++=in
certain ^jj+atrb+++=certain
equity ^nn++++=equity
classes ^nns++++=classes,
, ^zz++++=EXTRAWORD
suggesting ^xvbg+++xvbg+=suggesting
heightened ^vwbn+++xvbn+=heightened
investor ^nn++++=investor
caution ^nn+nom+++=caution
in ^in++++=in
response ^nn++++=response
to ^in++++=to
the ^ati++++=the
government ^nn+nom+++=government
s ^zz++++=s
capital ^nn++++=capital
control ^nn++++=control
measures ^nns++++=measures.
. ^zz++++=EXTRAWORD
