At ^rb++++=At
this ^dt+dem+++=this
stage ^nn++++=stage,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
represents ^vbz++++=represents
the ^ati++++=the
initial ^jj+atrb+++=initial
phase ^nn++++=phase
of ^in++++=of
the ^ati++++=the
researcher ^nn+nom+++=researcher's
's ^vbz+bez+vrb++0=EXTRAWORD
professional ^jj+atrb+++=professional
development ^nn+nom+++=development,
, ^zz++++=EXTRAWORD
the ^ati++++=the
potential ^nn++++=potential
to ^to+ncmp+++=to
approach ^vb++++=approach
research ^nn++++=research
training ^nn++++=training
through ^in++++=through
the ^ati++++=the
process ^nns+nom+++=process
of ^in++++=of
supervising ^xvbg+++xvbg+=supervising
the ^ati++++=the
end ^nn++++=end-of-course
- ^zz++++=EXTRAWORD
of ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
course ^nn++++=EXTRAWORD
paper ^nn++++=paper
( ^zz++++=(TCC)
tcc ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
considered ^vpsv++agls+xvbnx+=considered.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
in ^in++++=in
most ^ql+emph+++=most
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
Undergraduate ^nn+nom+++=Undergraduate
Scientific ^jj+atrb+++=Scientific
Research ^nn++++=Research
( ^zz++++=(USR)
usr ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
chronologically ^rb++++=chronologically
precedes ^vbz++++=precedes
Tcc ^np+++??+=TCC
supervision ^nn++++=supervision,
, ^zz++++=EXTRAWORD
serving ^vbg+++xvbg+=serving
as ^ql++++=as
the ^ati++++=the
researcher ^nn+nom+++=researcher's
's ^$++++=EXTRAWORD
first ^rb++++=first
formal ^jj+atrb+++=formal
exposure ^nn++++=exposure
to ^in++++=to
research ^nn++++=research
activities ^nns+nom+++=activities.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
supervision ^nn++++=supervision
of ^in++++=of
Tccs ^np+++??+=TCCs
varies ^vbz++++=varies
across ^in+pl+++=across
institutions ^nns+nom+++=institutions
and ^cc++++=and
is ^vbz+bez+vrb++=is
generally ^rb+down+++=generally
less ^rbr++++=less
rigorous ^jj++++=rigorous
than ^in++++=than
Usr ^np+++??+=USR
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
adherence ^nn+nom+++=adherence
to ^in++++=to
research ^nn++++=research
methodologies ^nns+++??+=methodologies
and ^cc++++=and
ethical ^jj+atrb+++=ethical
standards ^nns++++=standards.
. ^zz++++=EXTRAWORD
In ^in++++=In
Usr ^np+++??+=USR,
, ^zz++++=EXTRAWORD
the ^ati++++=the
trainee ^nn++++=trainee
researcher ^nn+nom+++=researcher
is ^vbz+bez+aux++=is
integrated ^vpsv++agls+xvbnx+=integrated
into ^in++++=into
an ^at++++=an
established ^jj+atrb++xvbn+=established
research ^nn++++=research
project ^nn++++=project,
, ^zz++++=EXTRAWORD
typically ^rb++++=typically
as ^in++++=as
a ^at++++=a
member ^nn++++=member
of ^in++++=of
a ^at++++=a
research ^nn++++=research
group ^nn++++=group
that ^tht+rel+subj++=that
relies ^vbz++++=relies
on ^in++++=on
external ^jj++++=external
funding ^jj+++xvbg+=funding
and ^cc++++=and,
, ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
must ^md+nec+++=must
strictly ^rb++splt++=strictly
comply ^vb++++=comply
with ^in++++=with
regulatory ^nn++++=regulatory
procedures ^nns++++=procedures.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
integration ^nn+nom+++=integration
also ^rb++++=also
involves ^vbz++++=involves
more ^rbr++++=more
substantial ^jj+atrb+++=substantial
interactions ^nns+nom+++=interactions
with ^in++++=with
the ^ati++++=the
university ^nn+nom+++=university
and ^cc++++=and
broader ^jjr+atrb+++=broader
society ^nn++++=society,
, ^zz++++=EXTRAWORD
aspects ^nns++++=aspects
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
often ^rb++++=often
less ^ql++++=less
emphasized ^vbd+vpub++xvbn+=emphasized
in ^in++++=in
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
tccs ^np++++=TCCs.
. ^zz++++=EXTRAWORD
