Following ^jj+++xvbg+=Following
the ^ati++++=the
recommendations ^nns+nom+++=recommendations
of ^in++++=of
Braga ^np+++??+=Braga
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2016),
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
each ^dt++++=each
sample ^nn++++=sample
was ^vbd+bedz+aux++=was
collected ^vpsv++agls+xvbnx+=collected
from ^in++++=from
the ^ati++++=the
soil ^nn++++=soil
to ^in++++=to
a ^at++++=a
depth ^nn++++=depth
of ^in++++=of
10 ^cd++++=10
cm ^nnu++++=cm
in ^in++++=in
two ^cd++++=two
stages ^nns++++=stages.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
first ^od++++=first
stage ^nn++++=stage,
, ^zz++++=EXTRAWORD
soil ^nn++++=soil
from ^in++++=from
the ^ati++++=the
0 ^zz++++=0
5 ^zz++++=5
cm ^nnu++++=cm
layer ^nn++++=layer,
, ^zz++++=EXTRAWORD
referred ^j+++xvbn+=referred
to ^in++++=to
as ^ql++++=as
the ^ati++++=the
" ^zz++++="upper"
upper ^jjb++++=EXTRAWORD
" ^zz++++=EXTRAWORD
layer ^nn++++=layer,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
removed ^vpsv++agls+xvbnx+=removed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
second ^od++++=second
stage ^nn++++=stage,
, ^zz++++=EXTRAWORD
soil ^nn++++=soil
from ^in++++=from
the ^ati++++=the
5 ^zz++++=5
10 ^cd++++=10
cm ^nnu++++=cm
layer ^nn++++=layer,
, ^zz++++=EXTRAWORD
referred ^j+++xvbn+=referred
to ^in++++=to
as ^ql++++=as
the ^ati++++=the
" ^zz++++="lower"
lower ^jjr++++=EXTRAWORD
" ^zz++++=EXTRAWORD
layer ^nn++++=layer,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
collected ^vpsv++agls+xvbnx+=collected.
. ^zz++++=EXTRAWORD
Samples ^nns++++=Samples
from ^in++++=from
each ^dt++++=each
depth ^nn++++=depth
were ^vbd+bed+aux++=were
placed ^vpsv++agls+xvbnx+=placed
in ^in++++=in
separate ^jj+atrb+++=separate
plastic ^nn++++=plastic
bags ^nns++++=bags.
. ^zz++++=EXTRAWORD
After ^in++++=After
collection ^nn+nom+++=collection,
, ^zz++++=EXTRAWORD
the ^ati++++=the
samples ^nns++++=samples
were ^vbd+bed+aux++=were
arranged ^vpsv++agls+xvbnx+=arranged
in ^in++++=in
plastic ^nn++++=plastic
trays ^nns++++=trays
by ^in++++=by
first ^rb++++=first
placing ^nvbg+++xvbg+=placing
the ^ati++++=the
lower ^jjr+atrb+++=lower
layer ^nn++++=layer
and ^cc++++=and
then ^rn+tm+++=then
covering ^vbg+++xvbg+=covering
it ^pp3+it+++=it
with ^in++++=with
the ^ati++++=the
upper ^jjb+atrb+++=upper
layer ^nn++++=layer.
. ^zz++++=EXTRAWORD
The ^ati++++=The
trays ^nns++++=trays
were ^vbd+bed+aux++=were
then ^rn+tm+splt++=then
subjected ^vpsv++agls+xvbnx+=subjected
to ^in++++=to
germination ^nn+nom+++=germination
under ^in++++=under
60 ^cd++++=60%
% ^zz++++=EXTRAWORD
shade ^nn++++=shade,
, ^zz++++=EXTRAWORD
with ^in++++=with
irrigation ^nn+nom+++=irrigation
provided ^vbd+++xvbn+=provided
twice ^rb++++=twice
daily ^jj++++=daily
for ^in++++=for
three ^cd++++=three
minutes ^nns++++=minutes
each ^dt++++=each
using ^vbg+++xvbg+=using
microsprinklers ^nns+nom+++=microsprinklers.
. ^zz++++=EXTRAWORD
