Compared ^vbd+++xvbn+=Compared
to ^in++++=to
yes ^uh++++=yes/no
questions ^nns+nom+++=questions,
, ^zz++++=EXTRAWORD
tag ^nn++++=tag
questions ^nns+nom+++=questions
and ^cc++++=and
declarative ^jj+atrb+++=declarative
questions ^nns+nom+++=questions
exhibit ^vb++++=exhibit
a ^at++++=a
stronger ^jjr+atrb+++=stronger
bias ^nn++++=bias
toward ^in++++=toward
confirmative ^jj+atrb+++=confirmative
answers ^nns+nom+++=answers
and ^cc++++=and
are ^vb+ber+aux++=are
therefore ^rb+cnj+splt++=therefore
considered ^vpsv++agls+xvbnx+=considered
more ^rbr++++=more
coercive ^jj++++=coercive
( ^zz++++=(Huddleston
huddleston ^nn+++??+=EXTRAWORD
& ^zz++++=&
Pullum ^np+++??+=Pullum,
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002,
, ^zz++++=EXTRAWORD
pp ^nns++++=pp.
. ^zz++++=EXTRAWORD
881 ^cd++++=881
894 ^cd++++=894).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn+nom+++=addition
to ^in"++++=to
eliciting ^vbg+++xvbg+=eliciting
type ^nn++++=type-conforming
- ^zz++++=EXTRAWORD
conforming ^vbg+++xvbg+=EXTRAWORD
responses ^nns++++=responses
from ^in++++=from
witnesses ^nns+nom+++=witnesses,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
question ^nn+nom+++=question
types ^nns++++=types
provide ^vb+vsua+++=provide
a ^at++++=a
further ^jjb+atrb+++=further
advantage ^nn+nom+++=advantage
to ^in++++=to
legal ^jj+atrb+++=legal
counsel ^nn++++=counsel:
: ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
often ^rb++splt++=often
perceived ^vpsv++agls+xvbnx+=perceived
as ^ql++++=as
statements ^nns+nom+++=statements,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
facilitates ^nns+nom+++=facilitates
the ^ati++++=the
transformation ^nn+nom+++=transformation
of ^in++++=of
questions ^nns+nom+++=questions
into ^in++++=into
evidence ^nn+nom+++=evidence
( ^zz++++=(Hobbs,
hobbs ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2003b ^cd++++=2003b,
, ^zz++++=EXTRAWORD
pp ^nns++++=pp.
. ^zz++++=EXTRAWORD
486 ^cd++++=486
487 ^cd++++=487).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
result ^nn++++=result,
, ^zz++++=EXTRAWORD
tag ^nn++++=tag
questions ^nns+nom+++=questions
and ^cc++++=and
declarative ^jj+atrb+++=declarative
questions ^nns+nom+++=questions
serve ^vb++++=serve
as ^in++++=as
effective ^jj+atrb+++=effective
tools ^nns++++=tools
that ^tht+rel+subj++=that
allow ^vb++++=allow
counsel ^vb++++=counsel
to ^to+vcmp+++=to
present ^vb++++=present
evidence ^nn+nom+++=evidence
on ^in++++=on
behalf ^nn++++=behalf
of ^in++++=of
witnesses ^nns+nom+++=witnesses
and ^cc++++=and
limit ^nn++++=limit
witnesses ^nns+nom+++=witnesses
to ^in++++=to
the ^ati++++=the
role ^nn++++=role
of ^in++++=of
minimal ^jj+atrb+++=minimal
responders ^nns+nom+++=responders.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
these ^dt+pdem+++=these,
, ^zz++++=EXTRAWORD
tag ^nn++++=tag
questions ^nns+nom+++=questions
are ^vb+ber+aux++=are
regarded ^vpsv++by+xvbnx+=regarded
by ^in++++=by
some ^dti++++=some
scholars ^nns++++=scholars
as ^in++++=as
the ^ati++++=the
most ^ql+emph+++=most
coercive ^jj++++=coercive,
, ^zz++++=EXTRAWORD
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
their ^pp$+pp3+++=their
additional ^jj+atrb+++=additional
pragmatic ^jj+atrb+++=pragmatic
function ^nn+nom+++=function
of ^in++++=of
implying ^vb+++xvbg+=implying
that ^tht+vcmp+++=that
the ^ati++++=the
respondent ^nn++++=respondent
recognizes ^vbz+vprv+++=recognizes
the ^ati++++=the
questioner ^nn+nom+++=questioner
s ^zz++++=s
correctness ^nns+nom+++=correctness
( ^zz++++=(Woodbury,
woodbury ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1984 ^cd+date+++=1984,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
205 ^cd++++=205;
; ^zz++++=EXTRAWORD
Berk ^np+++??+=Berk-Seligson,
- ^zz++++=EXTRAWORD
seligson ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
1999 ^cd+date+++=1999,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
36 ^cd++++=36).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
Gibbons ^np++++=Gibbons
( ^zz++++=(2003,
2003 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
101 ^cd++++=101)
) ^zz++++=EXTRAWORD
cautions ^nns+nom+++=cautions
against ^in++++=against
focusing ^xvbg+++xvbg+=focusing
solely ^rb++++=solely
on ^in++++=on
question ^nn+nom+++=question
form ^nn++++=form,
, ^zz++++=EXTRAWORD
emphasizing ^vbg+++xvbg+=emphasizing
that ^tht+vcmp+++=that
intonation ^nn+nom+++=intonation
and ^cc++++=and
tone ^nn++++=tone
of ^in++++=of
voice ^nn++++=voice
are ^vb+ber+vrb++=are
also ^rb++++=also
critical ^jj+pred+++=critical
in ^in++++=in
determining ^vbg+++xvbg+=determining
the ^ati++++=the
degree ^nn++++=degree
of ^in++++=of
coerciveness ^nns+nom+++=coerciveness.
. ^zz++++=EXTRAWORD
