Identification ^nn+nom+++=Identification.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
species ^nn++++=species
is ^vbz+bez+aux++=is
primarily ^rb+down+splt++=primarily
distinguished ^vpsv++by+xvbnx+=distinguished
by ^in++++=by
the ^ati++++=the
coloration ^nn+nom+++=coloration
of ^in++++=of
the ^ati++++=the
exoperidium ^nn+++??+=exoperidium,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
ranges ^nns++++=ranges
from ^in++++=from
pink ^nn++++=pink
and ^cc++++=and
red ^jj++++=red
to ^in++++=to
pale ^nn++++=pale
violet ^jj++++=violet.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
characteristic ^nn++++=characteristic
reliably ^rb++++=reliably
differentiates ^nns+nom+++=differentiates
it ^pp3+it+++=it
from ^in++++=from
other ^ap++++=other
species ^nn++++=species
within ^in++++=within
the ^ati++++=the
genus ^nns++++=genus
( ^zz++++=(Trierveiler-Pereira
trierveiler ^jjr++++=EXTRAWORD
- ^zz++++=EXTRAWORD
pereira ^nn++++=EXTRAWORD
& ^zz++++=&
silveira ^np++++=Silveira
2012 ^cd++++=2012).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
