Due ^jj+cmpx+++=Due
to ^to+jcmp+++=to
the ^ati++++=the
unprecedented ^jj+atrb+++=unprecedented
nature ^nn++++=nature
of ^in++++=of
the ^ati++++=the
health ^nn++++=health
and ^cc++++=and
economic ^jj+atrb+++=economic
crisis ^nn++++=crisis
caused ^vwbn+++xvbn+=caused
by ^in++++=by
Covid ^np+++??+=Covid-19,
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
rapidly ^rb++++=rapidly
expanding ^jj+atrb++xvbg+=expanding
body ^nn++++=body
of ^in++++=of
literature ^nn++++=literature
has ^vbz+hvz+aux++=has
emerged ^vprf+++xvbnx+=emerged
to ^to++++=to
assess ^vbi++++=assess
its ^pp$+it+++=its
various ^jj+atrb+++=various
impacts ^nns+++??+=impacts.
. ^zz++++=EXTRAWORD
In ^in++++=In
relation ^nn+nom+++=relation
to ^in++++=to
the ^ati++++=the
labor ^nn++++=labor
market ^nn++++=market,
, ^zz++++=EXTRAWORD
a ^at++++=a
particularly ^rb++++=particularly
active ^jj+atrb+++=active
area ^nn++++=area
of ^in++++=of
research ^nn++++=research
focuses ^vbz++++=focuses
on ^in++++=on
the ^ati++++=the
uneven ^jj+atrb+++=uneven
effects ^nns++++=effects
of ^in++++=of
the ^ati++++=the
negative ^jj+atrb+++=negative
shock ^nn++++=shock
associated ^vbd+++xvbn+=associated
with ^in++++=with
the ^ati++++=the
pandemic ^nn++++=pandemic.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
broad ^jj+atrb+++=broad
consensus ^nn++++=consensus
that ^tht+rel+obj++=that
these ^dt+dem+++=these
effects ^nns++++=effects
are ^vb+ber+vrb++=are
heterogeneous ^jj+pred+++=heterogeneous
and ^cc++++=and
may ^md+pos+++=may
exacerbate ^nn+nom+++=exacerbate
pre ^nn+++??+=pre-existing
- ^zz++++=EXTRAWORD
existing ^jj+atrb++xvbg+=EXTRAWORD
inequalities ^nns+nom+++=inequalities.
. ^zz++++=EXTRAWORD
Adams ^np++++=Adams-Prassl
- ^zz++++=EXTRAWORD
prassl ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2020)
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
examined ^vbd+++xvbn+=examined
data ^nns++++=data
from ^in++++=from
the ^ati++++=the
Uk ^np++++=UK,
, ^zz++++=EXTRAWORD
Us ^pp1o+pp1+++=US,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Germany ^np++++=Germany,
, ^zz++++=EXTRAWORD
finding ^vbg+++xvbg+=finding
that ^tht+vcmp+++=that
the ^ati++++=the
