Several ^ap++++=Several
authors ^nns++++=authors
within ^in++++=within
the ^ati++++=the
Keynesian ^np+++??+=Keynesian
and ^cc++++=and
Structuralist ^np+nom++??+=Structuralist
traditions ^nns+nom+++=traditions
in ^in++++=in
economics ^nn++++=economics
have ^vb+hv+aux++=have
highlighted ^vprf+++xvbnx+=highlighted
the ^ati++++=the
inherent ^jj+atrb+++=inherent
instability ^nn+nom+++=instability
of ^in++++=of
capital ^nn++++=capital
flows ^vbz++++=flows
since ^rb++++=since
the ^ati++++=the
foundational ^jj+atrb+++=foundational
works ^nns++++=works
of ^in++++=of
Keynes ^np+++??+=Keynes
on ^in++++=on
this ^dt+dem+++=this
topic ^nn++++=topic.
. ^zz++++=EXTRAWORD
Within ^in++++=Within
this ^dt+dem+++=this
literature ^nn++++=literature,
, ^zz++++=EXTRAWORD
a ^at++++=a
specific ^jj+atrb+++=specific
strand ^nn++++=strand
emphasizes ^vbz+vpub+++=emphasizes
the ^ati++++=the
capacity ^nn+nom+++=capacity
of ^in++++=of
a ^at++++=a
limited ^jj+atrb++xvbn+=limited
number ^nn++++=number
of ^in++++=of
currencies ^nns+++??+=currencies
to ^to++++=to
denominate ^nn+nom+++=denominate
debt ^nn++++=debt
contracts ^nns++++=contracts
and ^cc++++=and
derivative ^jj+atrb+++=derivative
instruments ^nns+nom+++=instruments
in ^in++++=in
international ^jj+atrb+++=international
markets ^nns++++=markets,
, ^zz++++=EXTRAWORD
a ^at++++=a
phenomenon ^nn++++=phenomenon
referred ^vbd+++xvbn+=referred
to ^in++++=to
as ^ql++++=as
the ^ati++++=the
currency ^nn++++=currency
hierarchy ^nn++++=hierarchy
. ^zz++++=.
This ^dt+dem+++=This
hierarchy ^nn++++=hierarchy
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
a ^at++++=a
significant ^jj+atrb+++=significant
portion ^nn+nom+++=portion
of ^in++++=of
capital ^nn++++=capital
flows ^nns++++=flows
to ^in++++=to
economies ^nns++++=economies
with ^in++++=with
inconvertible ^jj+atrb+++=inconvertible
currencies ^nns+++??+=currencies
is ^vbz+bez+aux++=is
influenced ^vpsv++by+xvbnx+=influenced
by ^in++++=by
the ^ati++++=the
liquidity ^nn+nom+++=liquidity
preferences ^nns+nom+++=preferences
of ^in++++=of
international ^jj+atrb+++=international
investors ^nns++++=investors
( ^zz++++=(Prates,
prates ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005;
; ^zz++++=EXTRAWORD
Prates ^np+++??+=Prates
& ^zz++++=&
Cintra ^np+++??+=Cintra,
, ^zz++++=EXTRAWORD
2008 ^cd++++=2008;
; ^zz++++=EXTRAWORD
Conti ^np+++??+=Conti
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
Fritz ^np++++=Fritz
& ^zz++++=&
Prates ^np+++??+=Prates,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
interest ^nn++++=interest
rates ^nns++++=rates
in ^in++++=in
these ^dt+dem+++=these
peripheral ^jj+atrb+++=peripheral
economies ^nns++++=economies
may ^md+pos+++=may
be ^vb+be+vrb++=be
subject ^nn++++=subject
to ^in++++=to
pressures ^nns++++=pressures
arising ^vwbg+++xvbg+=arising
from ^in++++=from
fluctuations ^nns+nom+++=fluctuations
in ^in++++=in
their ^pp$+pp3+++=their
exchange ^nn++++=exchange
rates ^nns++++=rates
( ^zz++++=(Ocampo,
ocampo ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
reduced ^jj+atrb++xvbn+=reduced
monetary ^jj+atrb+++=monetary
policy ^nn++++=policy
autonomy ^nn++++=autonomy
and ^cc++++=and
a ^at++++=a
violation ^nn+nom+++=violation
of ^in++++=of
the ^ati++++=the
impossible ^jj+atrb+++=impossible
