Adolescents ^nns++++=Adolescents
and ^cc++++=and
young ^jj+atrb+++=young
adults ^nns++++=adults
frequently ^rb++++=frequently
post ^nn++++=post
selfies ^vbz++++=selfies
on ^in++++=on
social ^jj+atrb+++=social
media ^nns++++=media
to ^to++++=to
attain ^vbi++++=attain
popularity ^nn+nom+++=popularity,
, ^zz++++=EXTRAWORD
recognition ^nn+nom+++=recognition,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
appreciation ^nn+nom+++=appreciation
( ^zz++++=(McLean
mclean ^jj++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Chua ^np+++??+=Chua
and ^cc++++=and
Chang ^np+++??+=Chang
( ^zz++++=(2016)
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
found ^vprf+++xvbn+=found
that ^tht+vcmp+++=that
adolescents ^nns++++=adolescents
identified ^vwbn+++xvbn+=identified
peer ^nn++++=peer
recognition ^nn+nom+++=recognition
as ^in++++=as
the ^ati++++=the
primary ^jj+atrb+++=primary
motivation ^nn+nom+++=motivation
for ^in++++=for
sharing ^xvbg+++xvbg+=sharing
selfies ^vbz++++=selfies,
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
that ^tht+vcmp+++=that
both ^abx++++=both
the ^ati++++=the
quantity ^nn+nom+++=quantity
and ^cc++++=and
positivity ^nn+nom+++=positivity
of ^in++++=of
feedback ^nn+++??+=feedback
significantly ^rb++++=significantly
influence ^nn+nom+++=influence
self ^nn++++=self-esteem
- ^zz++++=EXTRAWORD
esteem ^nn++++=EXTRAWORD
and ^cc++++=and
perceived ^jj+atrb++xvbn+=perceived
social ^jj+atrb+++=social
acceptance ^nn+nom+++=acceptance.
. ^zz++++=EXTRAWORD
Conversely ^rb+cnj+++=Conversely,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
posts ^nns++++=posts
do ^vb+do+aux++=do
not ^xnot++not++=not
receive ^vb++++=receive
the ^ati++++=the
anticipated ^jj+atrb++xvbn+=anticipated
number ^nn++++=number
of ^in++++=of
" ^zz++++="likes"
likes ^vbz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
or ^cc++++=or
comments ^nns+nom+++=comments,
, ^zz++++=EXTRAWORD
individuals ^nns+nom+++=individuals
may ^md+pos+++=may
experience ^nn+nom+++=experience
reduced ^vwbn+++xvbn+=reduced
well ^jj+pred+++=well-being
- ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=EXTRAWORD
( ^zz++++=(Jong
jong ^nn+++??+=EXTRAWORD
& ^zz++++=&
Drummond ^np++++=Drummond,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
association ^nn+nom+++=association
between ^in++++=between
social ^jj+atrb+++=social
media ^nn++++=media
photo ^nn++++=photo
sharing ^vwbg+++xvbg+=sharing
and ^cc++++=and
well ^rb++++=well-being
- ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=EXTRAWORD
among ^in++++=among
young ^jj+atrb+++=young
people ^nns++++=people
underscores ^nns+++??+=underscores
the ^ati++++=the
relevance ^nn+nom+++=relevance
of ^in++++=of
investigating ^xvbg+++xvbg+=investigating
selfie ^nn+++??+=selfie-related
- ^zz++++=EXTRAWORD
related ^xvbn+++xvbn+=EXTRAWORD
behaviors ^nns++++=behaviors.
. ^zz++++=EXTRAWORD
Advancing ^vbg+++xvbg+=Advancing
knowledge ^nn++++=knowledge
in ^in++++=in
this ^dt+dem+++=this
area ^nn++++=area
is ^vbz+bez+vrb++=is
particularly ^rb++++=particularly
important ^jj+pred+++=important,
, ^zz++++=EXTRAWORD
as ^in++++=as
adolescence ^nn+nom+++=adolescence
represents ^vbz++++=represents
a ^at++++=a
critical ^jj+atrb+++=critical
period ^nn++++=period
for ^in++++=for
identity ^nn+nom+++=identity
formation ^nn+nom+++=formation,
, ^zz++++=EXTRAWORD
self ^nn++++=self-image,
- ^zz++++=EXTRAWORD
image ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
social ^jj+atrb+++=social
relationships ^nns+nom+++=relationships,
, ^zz++++=EXTRAWORD
all ^abn++++=all
of ^in++++=of
which ^whp+rel+pied++=which
may ^md+pos+++=may
be ^vb+be+aux++=be
affected ^vpsv++by+xvbn+=affected
by ^in++++=by
engagement ^nn+nom+++=engagement
with ^in++++=with
selfie ^nn++++=selfie
practices ^nns++++=practices.
. ^zz++++=EXTRAWORD
