Mainstream ^np+++??+=Mainstream
research ^nn++++=research
on ^in++++=on
capital ^nn++++=capital
accounts ^nns++++=accounts
has ^vbz+hvz+aux++=has
undergone ^vprf+++xvbn+=undergone
significant ^jj+atrb+++=significant
changes ^nns++++=changes
over ^in++++=over
the ^ati++++=the
past ^jjb++++=past
three ^cd++++=three
decades ^nns++++=decades.
. ^zz++++=EXTRAWORD
Initially ^rb+cnj+++=Initially,
, ^zz++++=EXTRAWORD
theoretical ^jj+atrb+++=theoretical
models ^nns++++=models
supported ^vbd+++xvbn+=supported
full ^jj+atrb+++=full
capital ^nn++++=capital
account ^nn++++=account
liberalization ^nn+nom+++=liberalization;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
the ^ati++++=the
financial ^jj+atrb+++=financial
crises ^nns++++=crises
affecting ^xvbg+++xvbg+=affecting
emerging ^vbg+++xvbg+=emerging
markets ^nns++++=markets
in ^in++++=in
the ^ati++++=the
1990s ^cd+date+++=1990s,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
the ^ati++++=the
global ^jj+atrb+++=global
financial ^jj+atrb+++=financial
crisis ^nn++++=crisis
in ^in++++=in
2008 ^cd++++=2008,
, ^zz++++=EXTRAWORD
revealed ^j+++xvbn+=revealed
several ^ap++++=several
shortcomings ^nns++++=shortcomings
of ^in++++=of
financial ^jj+atrb+++=financial
globalization ^nn+nom+++=globalization.
. ^zz++++=EXTRAWORD
Subsequently ^rb+cnj+++=Subsequently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
post ^nn++++=post-crisis
- ^zz++++=EXTRAWORD
crisis ^nn++++=EXTRAWORD
period ^nn++++=period
generated ^vbd+++xvbn+=generated
new ^jj+atrb+++=new
empirical ^jj+atrb+++=empirical
evidence ^nn+nom+++=evidence
regarding ^in++++=regarding
the ^ati++++=the
effectiveness ^nns+nom+++=effectiveness
of ^in++++=of
regulatory ^nn++++=regulatory
measures ^nns++++=measures.
. ^zz++++=EXTRAWORD
In ^in++++=In
light ^in"++++=light
of ^in"++++=of
substantial ^jj+atrb+++=substantial
evidence ^nn+nom+++=evidence
that ^tht+rel+subj++=that
contradicted ^vprf+++xvbn+=contradicted
earlier ^jjr+atrb+++=earlier
theoretical ^jj+atrb+++=theoretical
models ^nns++++=models,
, ^zz++++=EXTRAWORD
several ^ap++++=several
mainstream ^nn++++=mainstream
economists ^nns+nom+++=economists
developed ^vbd+++xvbn+=developed
new ^np++++=new
frameworks ^nns++++=frameworks
that ^tht+rel+subj++=that
justify ^vb++++=justify
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
capital ^nn++++=capital
controls ^nns++++=controls.
. ^zz++++=EXTRAWORD
The ^ati++++=The
primary ^jj+atrb+++=primary
objective ^nn++++=objective
of ^in++++=of
this ^dt+dem+++=this
paper ^nn++++=paper
is ^vbz+bez+aux++=is
to ^to++++=to
examine ^vbi++++=examine
the ^ati++++=the
recent ^jj+atrb+++=recent
evolution ^nn+nom+++=evolution
of ^in++++=of
mainstream ^nn++++=mainstream
economic ^jj+atrb+++=economic
thought ^nn+++xvbn+=thought
on ^in++++=on
capital ^nn++++=capital
account ^nn++++=account
liberalization ^nn+nom+++=liberalization
and ^cc++++=and
capital ^nn++++=capital
controls ^nns++++=controls,
, ^zz++++=EXTRAWORD
with ^in++++=with
particular ^jj+atrb+++=particular
attention ^nn+nom+++=attention
to ^in++++=to
new ^jj+atrb+++=new
empirical ^jj+atrb+++=empirical
findings ^nns++++=findings
and ^cc++++=and
theoretical ^jj+atrb+++=theoretical
developments ^nns+nom+++=developments.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
paper ^nn++++=paper
argues ^vbz+vpub+++=argues
that ^tht+vcmp+++=that
these ^dt+dem+++=these
new ^jj+atrb+++=new
mainstream ^nn++++=mainstream
models ^nns++++=models
constitute ^vb++++=constitute
a ^at++++=a
distinct ^jj+atrb+++=distinct
phase ^nn++++=phase
in ^in++++=in
the ^ati++++=the
approach ^nn++++=approach
to ^to++++=to
regulating ^vbg+++xvbg+=regulating
international ^jj+atrb+++=international
capital ^nn++++=capital
flows ^nns++++=flows.
. ^zz++++=EXTRAWORD
