There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
a ^at++++=a
growing ^jj+atrb++xvbg+=growing
body ^nn++++=body
of ^in++++=of
literature ^nn++++=literature
examining ^vwbg+++xvbg+=examining
the ^ati++++=the
phenomenon ^nn++++=phenomenon
of ^in++++=of
frequent ^jj+atrb+++=frequent
selfie ^nn+++??+=selfie-taking,
- ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
sometimes ^rb++++=sometimes
referred ^vbd+++xvbn+=referred
to ^in++++=to
as ^in++++=as
" ^zz++++="selfitis,"
selfitis ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
which ^wdt+who+whq++=which
is ^vbz+bez+aux++=is
characterized ^vpsv++by+xvbnx+=characterized
by ^in++++=by
the ^ati++++=the
recurrent ^jj+atrb+++=recurrent
desire ^nn++++=desire
to ^to+ncmp+++=to
take ^vbi++++=take
photographs ^nns++++=photographs
of ^in++++=of
oneself ^ppl++++=oneself
using ^vbg+++xvbg+=using
a ^at++++=a
smartphone ^nn+++??+=smartphone
and ^cc++++=and
share ^nn++++=share
them ^pp3o+pp3+++=them
on ^in++++=on
social ^jj+atrb+++=social
media ^nn++++=media
platforms ^nns++++=platforms
( ^zz++++=(McLean
mclean ^jj++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
behavior ^nn++++=behavior
is ^vbz+bez+vrb++=is
particularly ^rb++++=particularly
prevalent ^jj+pred+++=prevalent
among ^in++++=among
adolescents ^nns++++=adolescents
and ^cc++++=and
young ^jj+atrb+++=young
adults ^nns++++=adults
and ^cc++++=and
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
observed ^vpsv++agls+xvbnx+=observed
globally ^rb++++=globally
( ^zz++++=(Griffiths
griffiths ^np++++=EXTRAWORD
and ^cc++++=and
Balakrishnan ^np+nom++??+=Balakrishnan,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018;
; ^zz++++=EXTRAWORD
Lin ^np+++??+=Lin
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019;
; ^zz++++=EXTRAWORD
Mclean ^np+++??+=McLean
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Selfitis ^np+++??+=Selfitis-related
- ^zz++++=EXTRAWORD
related ^xvbn+++xvbn+=EXTRAWORD
activities ^nns+nom+++=activities
typically ^rb++++=typically
include ^vb++++=include
preparing ^jj+++xvbg+=preparing
and ^cc+phrs+++=and
staging ^jj+++xvbg+=staging
the ^ati++++=the
image ^nn++++=image,
, ^zz++++=EXTRAWORD
editing ^vbg+++xvbg+=editing
aspects ^nns++++=aspects
such ^abl++++=such
as ^ql++++=as
color ^nn++++=color
and ^cc++++=and
background ^nn++++=background,
, ^zz++++=EXTRAWORD
selecting ^vbg+++xvbg+=selecting
the ^ati++++=the
most ^ql+emph+++=most
