Advanced ^jj+atrb++xvbn+=Advanced
economies ^nns++++=economies
exhibit ^vb++++=exhibit
more ^rbr++++=more
effective ^jj++++=effective
risk ^vb++++=risk
sharing ^xvbg+++xvbg+=sharing
compared ^vwbn+++xvbn+=compared
to ^to++++=to
emerging ^vbi++++=emerging
economies ^nns++++=economies,
, ^zz++++=EXTRAWORD
primarily ^rb+down+++=primarily
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
a ^at++++=a
higher ^jjr+atrb+++=higher
degree ^nn++++=degree
of ^in++++=of
financial ^jj+atrb+++=financial
integration ^nn+nom+++=integration
and ^cc++++=and
interconnection ^nn+nom+++=interconnection
among ^in++++=among
advanced ^jj+atrb++xvbn+=advanced
economies ^nns++++=economies,
, ^zz++++=EXTRAWORD
as ^in++++=as
demonstrated ^nn++++=demonstrated
by ^in++++=by
Kose ^np+++??+=Kose
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2009),
2009 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Bluedorn ^np+++??+=Bluedorn
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2013),
2013 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Lane ^nn++++=Lane
and ^cc++++=and
Milesi ^np+++??+=Milesi-Ferretti
- ^zz++++=EXTRAWORD
ferretti ^nn+++??+=EXTRAWORD
( ^zz++++=(2007).
2007 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
result ^nn++++=result,
, ^zz++++=EXTRAWORD
consumption ^nn+nom+++=consumption
volatility ^nn+nom+++=volatility
in ^in++++=in
emerging ^xvbg+++xvbg+=emerging
economies ^nns++++=economies
has ^vbz+hvz+aux++=has
not ^xnot++not++=not
consistently ^rb++++=consistently
declined ^vbd+++xvbn+=declined;
; ^zz++++=EXTRAWORD
in ^in++++=in
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
several ^ap++++=several
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
including ^in++++=including
Prasad ^np+++??+=Prasad
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2003)
2003 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Levy ^nn++++=Levy-Yeyati
- ^zz++++=EXTRAWORD
yeyati ^nn+++??+=EXTRAWORD
and ^cc++++=and
Calder ^np+++??+=Calder
n ^zz++++=n
( ^zz++++=(2009),
2009 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
report ^vb++++=report
that ^tht+vcmp+++=that
consumption ^nn+nom+++=consumption
volatility ^nn+nom+++=volatility
has ^vbz+hvz+aux++=has
increased ^vprf+++xvbn+=increased
during ^in++++=during
certain ^jj+atrb+++=certain
periods ^nns++++=periods.
. ^zz++++=EXTRAWORD
