Theoretically ^rb+cnj+++=Theoretically,
, ^zz++++=EXTRAWORD
Sbds ^np+++??+=SBDs
( ^zz++++=(Suburban
suburban ^jj+atrb+++=EXTRAWORD
Business ^nns+nom+++=Business
Districts ^nns++++=Districts)
) ^zz++++=EXTRAWORD
concentrate ^nn+nom+++=concentrate
economic ^jj+atrb+++=economic
activities ^nns+nom+++=activities
that ^tht+rel+obj++=that
may ^md+pos+++=may
lead ^vb++++=lead
to ^in++++=to
spatial ^jj+atrb+++=spatial
segregation ^nn+nom+++=segregation
due ^jj++++=due
to ^to+jcmp+++=to
rising ^vbg+++xvbg+=rising
land ^nn++++=land
prices ^nns++++=prices;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
can ^md+pos+++=can
also ^rb++splt++=also
contribute ^vb++++=contribute
to ^to++++=to
reducing ^vbi++++=reducing
urban ^jj+atrb+++=urban
road ^nn++++=road
congestion ^nn+nom+++=congestion
by ^in++++=by
decreasing ^xvbg+++xvbg+=decreasing
commuting ^jj+atrb++xvbg+=commuting
times ^nns++++=times
within ^in++++=within
the ^ati++++=the
municipality ^nn+nom+++=municipality.
. ^zz++++=EXTRAWORD
Sbds ^np+++??+=SBDs
should ^md+nec+++=should
not ^xnot++not++=not
be ^vb+be+aux++=be
viewed ^vpsv++agls+xvbnx+=viewed
solely ^rb++++=solely
as ^ql++++=as
outcomes ^nns+++??+=outcomes
of ^in++++=of
firm ^jj+atrb+++=firm
location ^nn+nom+++=location
decisions ^nns++++=decisions
driven ^vwbn+++xvbn+=driven
by ^in++++=by
agglomeration ^nn+nom+++=agglomeration
economies ^nns++++=economies
in ^in++++=in
an ^at++++=an
autonomous ^jj+atrb+++=autonomous
and ^cc+phrs+++=and
independent ^jj+atrb+++=independent
manner ^nn++++=manner.
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
should ^md+nec+++=should
be ^vb+be+aux++=be
recognized ^vpsv++agls+xvbnx+=recognized
as ^ql++++=as
significant ^jj+atrb+++=significant
instruments ^nns+nom+++=instruments
of ^in++++=of
public ^jj+atrb+++=public
urban ^jj+atrb+++=urban
policy ^nn++++=policy
that ^tht+rel+subj++=that
can ^md+pos+++=can
facilitate ^nn+nom+++=facilitate
more ^rbr++++=more
efficient ^jj++++=efficient
matching ^jj+++xvbg+=matching
between ^in++++=between
workers ^nns+nom+++=workers
and ^cc++++=and
firms ^nns++++=firms
in ^in++++=in
the ^ati++++=the
labor ^nn++++=labor
market ^nn++++=market.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
by ^in++++=by
reducing ^xvbg+++xvbg+=reducing
land ^nn++++=land
taxes ^nns++++=taxes,
, ^zz++++=EXTRAWORD
policymakers ^nns+nom+++=policymakers
can ^md+pos+++=can
incentivize ^vb++++=incentivize
firms ^nns++++=firms
to ^to++++=to
relocate ^nn+nom+++=relocate
outside ^jjb++++=outside
the ^ati++++=the
city ^nn++++=city
center ^jjr++++=center,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
increasing ^jj+atrb++xvbg+=increasing
overall ^jjb+atrb+++=overall
land ^nn++++=land
value ^nn++++=value
and ^cc++++=and
contributing ^jj+++xvbg+=contributing
to ^in++++=to
a ^at++++=a
more ^rbr++++=more
balanced ^jj+atrb+++=balanced
distribution ^nn+nom+++=distribution
of ^in++++=of
land ^nn++++=land
prices ^nns++++=prices
within ^in++++=within
the ^ati++++=the
municipality ^nn+nom+++=municipality.
. ^zz++++=EXTRAWORD
