With ^in+cmpx+++=With
the ^in"++++=the
exception ^in"++++=exception
of ^in"++++=of
Auchenoglanis ^np+++??+=Auchenoglanis
occidentalis ^nns+++??+=occidentalis
individuals ^nns+nom+++=individuals
sampled ^vwbn+++xvbn+=sampled
by ^in++++=by
Euzet ^np+++??+=Euzet
and ^cc++++=and
Le ^&fw++++=Le
Brun ^&fw++++=Brun
in ^in++++=in
Bamako ^np+++??+=Bamako
( ^zz++++=(Niger
niger ^np++++=EXTRAWORD
River ^nn++++=River),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+aux++=were
found ^vpsv++agls+xvbnx+=found
to ^to+vcmp+++=to
host ^vb++++=host
three ^cd++++=three
species ^nn++++=species
of ^in++++=of
Bagrobdella ^np+++??+=Bagrobdella
( ^zz++++=(B.
b ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
auchenoglanii ^nn+++??+=auchenoglanii,
, ^zz++++=EXTRAWORD
B ^zz++++=B.
. ^zz++++=EXTRAWORD
fraudulenta ^nn+++??+=fraudulenta,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
B ^zz++++=B.
. ^zz++++=EXTRAWORD
anthopenis ^nns+++??+=anthopenis),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
surveys ^nns++++=surveys
conducted ^vbd+++xvbn+=conducted
in ^in++++=in
other ^ap++++=other
localities ^nns+nom+++=localities
including ^in++++=including
Lake ^nn++++=Lake
Albert ^np++++=Albert,
, ^zz++++=EXTRAWORD
Uganda ^np++++=Uganda
( ^zz++++=(Paperna
paperna ^nn+++??+=EXTRAWORD
1971 ^cd+date+++=1971);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
Kara ^np+++??+=Kara
River ^nn++++=River,
, ^zz++++=EXTRAWORD
Togo ^np+++??+=Togo
( ^zz++++=(Kritsky
kritsky ^nn+++??+=EXTRAWORD
& ^zz++++=&
Kulo ^np+++??+=Kulo
1999 ^cd+date+++=1999);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
Oti ^np+++??+=Oti
River ^nn++++=River
( ^zz++++=(Euzet
euzet ^nn+++??+=EXTRAWORD
& ^zz++++=&
Le ^&fw++++=Le
Brun ^&fw++++=Brun
1990 ^cd+date+++=1990);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
Volta ^np+++??+=Volta
Lake ^nn++++=Lake,
, ^zz++++=EXTRAWORD
Volta ^np+++??+=Volta
Basin ^nn++++=Basin
( ^zz++++=(Paperna
paperna ^nn+++??+=EXTRAWORD
1969 ^cd+date+++=1969);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
Sassandra ^np+++??+=Sassandra,
, ^zz++++=EXTRAWORD
C ^zz++++=C
te ^nn++++=te
d ^zz++++=d'Ivoire
'ivoire ^nn+++??+=EXTRAWORD
( ^zz++++=(Euzet
euzet ^nn+++??+=EXTRAWORD
& ^zz++++=&
Le ^&fw++++=Le
Brun ^&fw++++=Brun
1990 ^cd+date+++=1990);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
Parauchenoglanis ^np+++??+=Parauchenoglanis
monkei ^nn+++??+=monkei
in ^in++++=in
Cameroon ^np+++??+=Cameroon
( ^zz++++=(Akoumba
akoumba ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2017 ^cd++++=2017)
) ^zz++++=EXTRAWORD
indicate ^nn+nom+++=indicate
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
only ^rb+down+++=only
a ^at++++=a
single ^jj+atrb+++=single
Bagrobdella ^np+++??+=Bagrobdella
species ^nns++++=species
at ^rb++++=at
each ^dt++++=each
site ^nn++++=site
( ^zz++++=(B.
b ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
fraudulenta ^nn+++??+=fraudulenta
in ^in++++=in
Uganda ^np++++=Uganda,
, ^zz++++=EXTRAWORD
B ^zz++++=B.
. ^zz++++=EXTRAWORD
parauchenoglanii ^nn+++??+=parauchenoglanii
in ^in++++=in
Cameroon ^np+++??+=Cameroon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
b ^zz++++=B.
. ^zz++++=EXTRAWORD
auchenoglanii ^nn++++=auchenoglanii
in ^in++++=in
the ^ati++++=the
remaining ^jj+atrb+++=remaining
localities ^nns+nom+++=localities).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
