Researchers ^nns+nom++??+=Researchers
examining ^vwbg+++xvbg+=examining
legal ^jj+atrb+++=legal
discourse ^nn++++=discourse,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
other ^ap++++=other
institutional ^jj+atrb+++=institutional
contexts ^nns++++=contexts
such ^abl++++=such
as ^ql++++=as
news ^nn++++=news
interviews ^nns++++=interviews,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
identified ^vprf+++xvbnx+=identified
recurring ^jj+atrb+++=recurring
patterns ^nns++++=patterns
in ^in++++=in
the ^ati++++=the
design ^nn++++=design
of ^in++++=of
questions ^nns+nom+++=questions
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
specific ^jj+atrb+++=specific
actions ^nns+nom+++=actions
within ^in++++=within
these ^dt+dem+++=these
settings ^nns++++=settings.
. ^zz++++=EXTRAWORD
These ^dt+pdem+++=These
include ^vb++++=include
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
" ^zz++++="and-"
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
" ^zz++++="so-"
so ^ql++++=EXTRAWORD
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
prefaced ^vbd+++xvbn+=prefaced
questions ^nns+nom+++=questions
( ^zz++++=(Johnson,
johnson ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
formulations ^nns+nom+++=formulations
( ^zz++++=(Heritage
heritage ^nn+nom+++=EXTRAWORD
& ^zz++++=&
Watson ^np++++=Watson,
, ^zz++++=EXTRAWORD
1979 ^cd+date+++=1979;
; ^zz++++=EXTRAWORD
Heritage ^nn+nom+++=Heritage,
, ^zz++++=EXTRAWORD
1985 ^cd+date+++=1985),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reported ^vbd+vpub++xvbn+=reported
speech ^nn++++=speech
( ^zz++++=(Philips,
philips ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1986 ^cd+date+++=1986;
; ^zz++++=EXTRAWORD
Matoesian ^np+++??+=Matoesian,
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000;
; ^zz++++=EXTRAWORD
Galatolo ^np+++??+=Galatolo,
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
devices ^nns++++=devices,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
frequently ^rb++splt++=frequently
employed ^vpsv++agls+xvbnx+=employed
in ^in++++=in
questions ^nns+nom+++=questions
and ^cc++++=and
occasionally ^rb++++=occasionally
in ^in++++=in
other ^ap++++=other
segments ^nns+nom+++=segments
of ^in++++=of
trial ^nn++++=trial
discourse ^nn++++=discourse
( ^zz++++=(for
for ^in++++=EXTRAWORD
example ^nn++++=example,
, ^zz++++=EXTRAWORD
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
reported ^vbd+vpub++xvbn+=reported
speech ^nn++++=speech
during ^in++++=during
summing ^xvbg+++xvbg+=summing
up ^rp++++=up),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
often ^rb++++=often
play ^vb++++=play
a ^at++++=a
central ^jj+atrb+++=central
role ^nn++++=role
in ^in++++=in
achieving ^xvbg+++xvbg+=achieving
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
primary ^jj+atrb+++=primary
objectives ^nns++++=objectives
of ^in++++=of
legal ^jj+atrb+++=legal
discourse ^nn++++=discourse:
: ^zz++++=EXTRAWORD
establishing ^vbg+++xvbg+=establishing
the ^ati++++=the
culpability ^nn+nom+++=culpability
of ^in++++=of
one ^cd1++++=one
or ^cc++++=or
more ^ql++++=more
parties ^nns++++=parties
involved ^vwbn+++xvbn+=involved.
. ^zz++++=EXTRAWORD
