Engagement ^nn+nom+++=Engagement
in ^in++++=in
various ^jj+atrb+++=various
online ^nn+++??+=online
activities ^nns+nom+++=activities,
, ^zz++++=EXTRAWORD
including ^in++++=including
accessing ^xvbg+++xvbg+=accessing
websites ^nns++++=websites,
, ^zz++++=EXTRAWORD
using ^vbg+++xvbg+=using
messenger ^np+nom+++=messenger
applications ^nns+nom+++=applications,
, ^zz++++=EXTRAWORD
participating ^vbg+++xvbg+=participating
in ^in++++=in
social ^jj+atrb+++=social
media ^nns++++=media,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Internet ^np+++??+=Internet
gaming ^vwbg+++xvbg+=gaming,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
become ^vprf+++xvbn+=become
a ^at++++=a
routine ^nn++++=routine
aspect ^nn++++=aspect
of ^in++++=of
daily ^jj+atrb+++=daily
life ^nn++++=life
for ^in++++=for
most ^ql+emph+++=most
individuals ^nns+nom+++=individuals,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
adolescents ^nns++++=adolescents
and ^cc++++=and
young ^jj+atrb+++=young
adults ^nns++++=adults
( ^zz++++=(Lin
lin ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017;
; ^zz++++=EXTRAWORD
Mclean ^np+++??+=McLean
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
proliferation ^nn+nom+++=proliferation
of ^in++++=of
social ^jj+atrb+++=social
media ^nn++++=media
platforms ^nns++++=platforms
such ^abl++++=such
as ^ql++++=as
Facebook ^np+++??+=Facebook,
, ^zz++++=EXTRAWORD
Twitter ^np+++??+=Twitter,
, ^zz++++=EXTRAWORD
Instagram ^np+++??+=Instagram,
, ^zz++++=EXTRAWORD
Tiktok ^np+++??+=TikTok,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Snapchat ^np+++??+=Snapchat
has ^vbz+hvz+aux++=has
led ^vprf+++xvbnx+=led
to ^in++++=to
an ^at++++=an
increase ^nn++++=increase
in ^in++++=in
research ^nn++++=research
focused ^vbd+++xvbn+=focused
on ^in++++=on
problematic ^jj+atrb+++=problematic
social ^jj+atrb+++=social
media ^nns++++=media
use ^nn++++=use,
, ^zz++++=EXTRAWORD
behavioral ^jj+atrb+++=behavioral
dependence ^nn+nom+++=dependence,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
associated ^jj+atrb++xvbn+=associated
impacts ^nns+++??+=impacts
on ^in++++=on
individuals ^nns+nom+++=individuals'
' ^zz++++=EXTRAWORD
lives ^nns++++=lives
( ^zz++++=(Alimoradi
alimoradi ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019;
; ^zz++++=EXTRAWORD
Montag ^np+++??+=Montag
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
the ^ati++++=the
literature ^nn++++=literature
has ^vbz+hvz+aux++=has
seldom ^rb++splt++=seldom
addressed ^vprf+++xvbnx+=addressed
the ^ati++++=the
relationship ^nn+nom+++=relationship
between ^in++++=between
social ^jj+atrb+++=social
media ^nns++++=media
use ^nn++++=use
and ^cc++++=and
aspects ^nns++++=aspects
of ^in++++=of
well ^rb++++=well-being
- ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=EXTRAWORD
and ^cc++++=and
self ^nn++++=self-esteem,
- ^zz++++=EXTRAWORD
esteem ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
including ^in++++=including
specific ^jj+atrb+++=specific
behaviors ^nns++++=behaviors
such ^abl++++=such
as ^ql++++=as
taking ^jj+++xvbg+=taking
and ^cc++++=and
sharing ^nn++++=sharing
selfies ^vbz++++=selfies,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
among ^in++++=among
adolescent ^jj+atrb+++=adolescent
populations ^nns+nom+++=populations.
. ^zz++++=EXTRAWORD
