When ^wrb+who+++=When
asked ^vbd+vsua++xvbn+=asked
to ^to+vcmp+++=to
indicate ^nn+nom+++=indicate
in ^in++++=in
which ^whp+rel+pied++=which
context ^nn++++=context
they ^pp3a+pp3+++=they
believed ^vbd+vprv+tht0+xvbnx+=believed
greater ^jjr+atrb+++=greater
autonomy ^nn++++=autonomy
was ^vbd+bedz+aux++=was
developed ^vpsv++agls+xvbnx+=developed,
, ^zz++++=EXTRAWORD
with ^in++++=with
two ^cd++++=two
possible ^jj+atrb+++=possible
answers ^nns+nom+++=answers
provided ^vbd+vsua++xvbn+=provided,
, ^zz++++=EXTRAWORD
92.3 ^cd++++=92.3%
% ^zz++++=EXTRAWORD
( ^zz++++=(n=24)
n=24 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
of ^in++++=of
respondents ^nns++++=respondents
selected ^vwbn+++xvbn+=selected
Usr ^np+++??+=USR,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
7.7 ^cd++++=7.7%
% ^zz++++=EXTRAWORD
( ^zz++++=(n=2)
n=2 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
selected ^jj+atrb++xvbn+=selected
regular ^jj+atrb+++=regular
classes ^nns++++=classes.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
results ^nns++++=results
support ^vb++++=support
the ^ati++++=the
argument ^nn+nom+++=argument
that ^tht+vcmp+subj++=that
providing ^vbg+++xvbg+=providing
opportunities ^nns+nom+++=opportunities
within ^in++++=within
a ^at++++=a
structured ^jj+atrb++xvbn+=structured
model ^nn++++=model
does ^vbz+doz+aux++=does
not ^xnot++not++=not
promote ^vb++++=promote
passive ^jj+atrb+++=passive
student ^nn++++=student
behavior ^nn++++=behavior;
; ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather,
, ^zz++++=EXTRAWORD
the ^ati++++=the
model ^nn++++=model
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
facilitate ^nn+nom+++=facilitate
the ^ati++++=the
development ^nn+nom+++=development
of ^in++++=of
independent ^jj+atrb+++=independent
thought ^nn+++xvbn+=thought
and ^cc++++=and
action ^nn++++=action.
. ^zz++++=EXTRAWORD
To ^in++++=To
further ^jjb++++=further
explore ^vb++++=explore
this ^dt+dem+++=this
perspective ^nn++++=perspective,
, ^zz++++=EXTRAWORD
respondents ^nns++++=respondents
were ^vbd+bed+aux++=were
subsequently ^rb+tm+splt++=subsequently
asked ^vpsv++agls+xvbnx+=asked
to ^to+vcmp+++=to
explain ^vbi+vpub+++=explain,
, ^zz++++=EXTRAWORD
in ^in++++=in
an ^at++++=an
open ^jj++++=open-ended
- ^zz++++=EXTRAWORD
ended ^vbd+++xvbn+=EXTRAWORD
format ^nn++++=format,
, ^zz++++=EXTRAWORD
the ^ati++++=the
reasons ^nns++++=reasons
why ^wrb+who+++=why
one ^cd1++++=one
context ^nn++++=context
was ^vbd+bedz+aux++=was
perceived ^vbd+vprv++xvbn+=perceived
to ^to++++=to
foster ^vbi++++=foster
greater ^jjr+atrb+++=greater
autonomy ^nn++++=autonomy
than ^in++++=than
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
