Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
compared ^vbd+++xvbn+=compared
the ^ati++++=the
coevolutionary ^nn+nom+++=coevolutionary
dynamics ^nn++++=dynamics
of ^in++++=of
the ^ati++++=the
Central ^jj+atrb+++=Central
scenario ^nn++++=scenario
with ^in++++=with
those ^dt+dem+++=those
of ^in++++=of
a ^at++++=a
scenario ^nn++++=scenario
in ^in++++=in
which ^whp+rel+pied++=which
cheating ^nvbg+++xvbg+=cheating
interactions ^nns+nom+++=interactions
were ^vbd+bed+aux++=were
randomly ^rb++splt++=randomly
distributed ^vpsv++agls+xvbnx+=distributed
across ^in+pl+++=across
the ^ati++++=the
network ^nn++++=network
( ^zz++++=(the
the ^ati++++=EXTRAWORD
Random ^jj+atrb+++=Random
scenario ^nn++++=scenario).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
To ^to++++=To
construct ^vbi++++=construct
the ^ati++++=the
Random ^jj+atrb+++=Random
scenario ^nn++++=scenario,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
calculated ^vbd+vprv++xvbn+=calculated
the ^ati++++=the
frequency ^nn++++=frequency
of ^in++++=of
negative ^jj+atrb+++=negative
effects ^nns++++=effects
in ^in++++=in
the ^ati++++=the
networks ^nns++++=networks
( ^zz++++=(fCh)
fch ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
observed ^vbd+vprv++xvbn+=observed
in ^in++++=in
the ^ati++++=the
Central ^jj+atrb+++=Central
scenario ^nn++++=scenario,
, ^zz++++=EXTRAWORD
as ^in++++=as
defined ^nn++++=defined
in ^in++++=in
Equation ^nn+nom+++=Equation
10 ^cd++++=10,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
used ^vbd+++xvbn+=used
this ^dt+dem+++=this
frequency ^nn++++=frequency
as ^in++++=as
the ^ati++++=the
probability ^nn+nom+++=probability
( ^zz++++=(p)
p ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
for ^in++++=for
assigning ^xvbg+++xvbg+=assigning
cheating ^nvbg+++xvbg+=cheating
interactions ^nns+nom+++=interactions
in ^in++++=in
the ^ati++++=the
Random ^jj+atrb+++=Random
scenario ^nn++++=scenario
networks ^nns++++=networks.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
n( ^nn+++??+=n(-+)
- ^zz++++=EXTRAWORD
+ ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
represents ^vbz++++=represents
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
cheating ^xvbg+++xvbg+=cheating
interactions ^nns+nom+++=interactions,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
n(+ ^nn+++??+=n(++)
+ ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
denotes ^vbz+vsua+++=denotes
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
mutualistic ^jj+atrb+++=mutualistic
interactions ^nns+nom+++=interactions
within ^in++++=within
the ^ati++++=the
network ^nn++++=network.
. ^zz++++=EXTRAWORD
