Biological ^jj+atrb+++=Biological
collections ^nns+nom+++=collections
serve ^vb++++=serve
as ^ql++++=as
repositories ^nns++++=repositories
of ^in++++=of
biodiversity ^nn+nom+++=biodiversity,
, ^zz++++=EXTRAWORD
housing ^nn++++=housing
specimens ^nns++++=specimens
and ^cc++++=and
associated ^xvbn+++xvbn+=associated
data ^nns++++=data
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
utilized ^vpsv++agls+xvbnx+=utilized
in ^in++++=in
various ^jj+atrb+++=various
scientific ^jj+atrb+++=scientific
research ^nn++++=research
fields ^nns++++=fields
[ ^zz++++=[1].
1 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
collections ^nns+nom+++=collections
are ^vb+ber+vrb++=are
particularly ^rb++++=particularly
significant ^jj+pred+++=significant
for ^in++++=for
insects ^nns++++=insects
of ^in++++=of
medical ^jj+atrb+++=medical
and ^cc+phrs+++=and
veterinary ^jj+atrb+++=veterinary
relevance ^nn+nom+++=relevance,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
precise ^jj+atrb+++=precise
taxonomic ^nn++++=taxonomic
identification ^nn+nom+++=identification
is ^vbz+bez+vrb++=is
essential ^nn++++=essential
for ^in++++=for
understanding ^xvbg+++xvbg+=understanding
and ^cc++++=and
managing ^xvbg+++xvbg+=managing
the ^ati++++=the
epidemiology ^nn+++??+=epidemiology
of ^in++++=of
vector ^nn++++=vector-borne
- ^zz++++=EXTRAWORD
borne ^xvbn+++xvbn+=EXTRAWORD
diseases ^nns++++=diseases
[ ^zz++++=[2].
2 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
Cole ^np++++=Cole
o ^zz++++=o
de ^&fw++++=de
Flebotom ^np+++??+=Flebotom
neos ^nns+++??+=neos
( ^zz++++=(Collection
collection ^nn+nom+++=EXTRAWORD
of ^in++++=of
Phlebotomines ^np+++??+=Phlebotomines),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
maintained ^j+++xvbn+=maintained
at ^rb++++=at
the ^ati++++=the
Instituto ^np+++??+=Instituto
Ren ^np+++??+=Ren
Rachou ^np+++??+=Rachou,
, ^zz++++=EXTRAWORD
Fiocruz ^np+++??+=Fiocruz
Minas ^np+++??+=Minas
( ^zz++++=(FIOCRUZ/COLFLEB),
fiocruz ^nn+++??+=EXTRAWORD
a ^at++++=a
federal ^jj+atrb+++=federal
public ^jj+atrb+++=public
health ^nn++++=health
research ^nn++++=research
institution ^nn+nom+++=institution
in ^in++++=in
Belo ^np+++??+=Belo
Horizonte ^np+++??+=Horizonte,
, ^zz++++=EXTRAWORD
Minas ^np+++??+=Minas
Gerais ^np+++??+=Gerais,
, ^zz++++=EXTRAWORD
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
specialized ^jj+atrb++xvbn+=specialized
biological ^jj+atrb+++=biological
collection ^nn+nom+++=collection
of ^in++++=of
