Regarding ^in++++=Regarding
the ^ati++++=the
localization ^nn+nom+++=localization
of ^in++++=of
these ^dt+dem+++=these
tract ^nn++++=tract
areas ^nns++++=areas
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
2 ^zz++++=2),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
above ^in+pl+++=above-average
- ^zz++++=EXTRAWORD
average ^jj+atrb+++=EXTRAWORD
spatial ^jj+atrb+++=spatial
concentration ^nn+nom+++=concentration
( ^zz++++=(HH)
hh ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
of ^in++++=of
employment ^nn+nom+++=employment
levels ^nns++++=levels
is ^vbz+bez+aux++=is
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
nearly ^rb+down+++=nearly
all ^rb++++=all
of ^in++++=of
the ^ati++++=the
Center ^np+++??+=Center
Zone ^nn++++=Zone
( ^zz++++=(CZ),
cz ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
in ^in++++=in
portions ^nns+nom+++=portions
of ^in++++=of
South ^np+pl+++=South
Zone ^nn++++=Zone
1 ^zz++++=1
( ^zz++++=(SZ1),
sz1 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
South ^nr+pl+++=South
Zone ^nn++++=Zone
2 ^zz++++=2
( ^zz++++=(SZ2),
sz2 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
West ^np+pl+++=West
Zone ^nn++++=Zone
( ^zz++++=(WZ),
wz ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
minor ^jj+atrb+++=minor
presence ^nn+nom+++=presence
in ^in++++=in
east ^np+pl+++=East
zone ^nn++++=Zone
1 ^zz++++=1
( ^zz++++=(EZ1).
ez1 ^nn++++=EXTRAWORD
). ^nn++++=EXTRAWORD
