While ^cs+sub+++=While
each ^dt++++=each
formulation ^nn+nom+++=formulation
retains ^vbz++++=retains
certain ^jj+atrb+++=certain
elements ^nns+nom+++=elements
of ^in++++=of
the ^ati++++=the
previously ^rb+tm+++=previously
established ^vbd+vprv++xvbn+=established
meaning ^nvbg+++xvbg+=meaning,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
simultaneously ^rb+tm+++=simultaneously
omits ^vbz++++=omits
other ^ap++++=other
elements ^nns+nom+++=elements
and ^cc++++=and
introduces ^vbz++++=introduces
new ^jj+atrb+++=new
aspects ^nns++++=aspects
of ^in++++=of
meaning ^xvbg+++xvbg+=meaning
( ^zz++++=(Heritage
heritage ^nn+nom+++=EXTRAWORD
and ^cc++++=and
Watson ^np++++=Watson,
, ^zz++++=EXTRAWORD
1979 ^cd+date+++=1979,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
129 ^cd++++=129).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
reflexive ^jj+atrb+++=reflexive
relationship ^nn+nom+++=relationship
between ^in++++=between
the ^ati++++=the
initial ^jj+atrb+++=initial
and ^cc+phrs+++=and
subsequent ^jj+atrb+++=subsequent
versions ^nns++++=versions:
: ^zz++++=EXTRAWORD
formulations ^nns+nom+++=formulations
render ^vb++++=render
explicit ^jj+atrb+++=explicit
meanings ^nns++++=meanings
that ^tht+rel+subj++=that
were ^vbd+bed+vrb++=were
previously ^rb+tm+++=previously
implicit ^jj+pred+++=implicit,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
at ^rb++++=at
least ^rb"++++=least
are ^vb+ber+aux++=are
treated ^vpsv++agls+xvbnx+=treated
as ^cs+sub+++=as
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
implied ^vpsv++agls+xvbnx+=implied
in ^in++++=in
the ^ati++++=the
prior ^jj+atrb+++=prior
version ^nn++++=version,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
their ^pp$+pp3+++=their
local ^jj+atrb+++=local
meaning ^nvbg+++xvbg+=meaning
is ^vbz+bez+vrb++=is
partially ^rb+down+++=partially
dependent ^jj+pred+++=dependent
on ^in++++=on
the ^ati++++=the
versions ^nns++++=versions
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
intended ^vpsv++agls+xvbnx+=intended
to ^to+vcmp+++=to
replace ^vbi++++=replace.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
analyzing ^nvbg+++xvbg+=analyzing
the ^ati++++=the
semantic ^jj+atrb+++=semantic
properties ^nns++++=properties
of ^in++++=of
formulations ^nns+nom+++=formulations,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
essential ^jj++++=essential
to ^to+jcmp+++=to
consider ^nn+nom+++=consider
both ^abx++++=both
the ^ati++++=the
sequential ^jj+atrb+++=sequential
organization ^nn+nom+++=organization
and ^cc++++=and
the ^ati++++=the
specific ^jj+atrb+++=specific
linguistic ^jj+atrb+++=linguistic
design ^nn++++=design
of ^in++++=of
the ^ati++++=the
formulation ^nn+nom+++=formulation
( ^zz++++=(Deppermann,
deppermann ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
122 ^cd++++=122).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
