Regarding ^in++++=Regarding
the ^ati++++=the
germination ^nn+nom+++=germination
speed ^nn++++=speed
index ^nn++++=index
( ^zz++++=(GSI),
gsi ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
no ^at++++=no
significant ^jj+atrb+++=significant
differences ^nns+nom+++=differences
were ^vbd+bed+aux++=were
observed ^vpsv++agls+xvbnx+=observed
between ^in++++=between
cryopreserved ^jj+++xvbn+=cryopreserved
( ^zz++++=(+LN)
+ ^zz++++=EXTRAWORD
ln ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
non ^&fw++++=non-cryopreserved
- ^zz++++=EXTRAWORD
cryopreserved ^jj+++xvbn+=EXTRAWORD
( ^zz++++=(-LN)
- ^zz++++=EXTRAWORD
ln ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
seeds ^nns++++=seeds.
. ^zz++++=EXTRAWORD
Seeds ^nns++++=Seeds
subjected ^vwbn+++xvbn+=subjected
to ^in++++=to
the ^ati++++=the
conservation ^nn+nom+++=conservation
methods ^nns++++=methods
began ^vbd+++xvbn+=began
to ^to++++=to
germinate ^nn+nom+++=germinate
on ^in++++=on
the ^ati++++=the
seventh ^od++++=seventh
day ^nn++++=day
of ^in++++=of
cultivation ^nn+nom+++=cultivation,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
highest ^jjt+atrb+++=highest
germination ^nn+nom+++=germination
rate ^nn++++=rate
recorded ^vbd+++xvbn+=recorded
on ^in++++=on
the ^ati++++=the
fifteenth ^od++++=fifteenth
day ^nn++++=day.
. ^zz++++=EXTRAWORD
Seeds ^nns++++=Seeds
collected ^vwbn+++xvbn+=collected
at ^rb++++=at
150 ^cd++++=150
days ^nns++++=days
after ^cs+sub+++=after
anthesis ^nns+++??+=anthesis
( ^zz++++=(DAA)
daa ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
exhibited ^vbd+++xvbn+=exhibited
an ^at++++=an
average ^nn+nom+++=average
Gsi ^np+++??+=GSI
of ^in++++=of
17.0 ^cd+date+++=17.0,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
statistically ^rb++++=statistically
higher ^jjr+pred+++=higher
and ^cc++++=and
significantly ^rb++++=significantly
different ^jj++++=different
( ^zz++++=(p<0.05)
p<0.05 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
compared ^vbd+++xvbn+=compared
to ^in++++=to
seeds ^nns++++=seeds
collected ^vwbn+++xvbn+=collected
at ^rb++++=at
120 ^cd++++=120
and ^cc++++=and
135 ^cd++++=135
daa ^np++++=DAA
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
2 ^zz++++=2).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
