Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
proportion ^nn+nom+++=proportion
of ^in++++=of
remote ^nn++++=remote
work ^vb++++=work
exceeded ^vbd+++xvbn+=exceeded
40 ^cd++++=40%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
participants ^nns+nom+++=participants
included ^vbd+++xvbn+=included
pedagogues ^nns+++??+=pedagogues
and ^cc++++=and
other ^ap++++=other
teachers ^nns+nom+++=teachers
( ^zz++++=(such
such ^abl++++=EXTRAWORD
as ^ql++++=as
those ^dt+dem+++=those
specializing ^jj+++xvbg+=specializing
in ^in++++=in
languages ^nns+nom+++=languages,
, ^zz++++=EXTRAWORD
arts ^nns++++=arts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
music ^nn++++=music),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
professionals ^nns+nom+++=professionals
with ^in++++=with
higher ^jjr+atrb+++=higher
education ^nn+nom+++=education,
, ^zz++++=EXTRAWORD
including ^in++++=including
lawyers ^nns+nom+++=lawyers,
, ^zz++++=EXTRAWORD
engineers ^nns+nom+++=engineers,
, ^zz++++=EXTRAWORD
accountants ^nns+nom+++=accountants,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
journalists ^nns+nom+++=journalists.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
occupational ^jj+atrb+++=occupational
categories ^nns++++=categories
align ^nn+++??+=align
with ^in++++=with
the ^ati++++=the
general ^jj++++=general
" ^zz++++="sector"
sector ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
characterized ^vpsv++by+xvbn+=characterized
by ^in++++=by
a ^at++++=a
high ^jj+atrb+++=high
number ^nn++++=number
of ^in++++=of
remote ^jj+atrb+++=remote
work ^nn++++=work
hours ^nns++++=hours,
, ^zz++++=EXTRAWORD
as ^in++++=as
defined ^nn++++=defined
by ^in++++=by
Gaudecker ^np+nom++??+=Gaudecker
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2020),
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
predominantly ^rb++++=predominantly
consists ^nns+nom+++=consists
of ^in++++=of
individuals ^nns+nom+++=individuals
with ^in++++=with
higher ^jjr+atrb+++=higher
education ^nn+nom+++=education
engaged ^vwbn+++xvbn+=engaged
in ^in++++=in
office ^nn++++=office-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
occupations ^nns+nom+++=occupations.
. ^zz++++=EXTRAWORD
