Bridi ^np+++??+=Bridi
( ^zz++++=(2020)
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
found ^vprf+++xvbn+=found
that ^tht+vcmp+++=that
job ^nn++++=job
losses ^nns++++=losses
in ^in++++=in
Brazil ^np++++=Brazil
during ^in++++=during
the ^ati++++=the
second ^od++++=second
quarter ^nn++++=quarter
of ^in++++=of
2020 ^cd++++=2020
were ^vbd+bed+vrb++=were
significantly ^rb++++=significantly
higher ^jjr+pred+++=higher
among ^in++++=among
informal ^jj+atrb+++=informal
workers ^nns+nom+++=workers,
, ^zz++++=EXTRAWORD
both ^abx++++=both
when ^wrb+who+++=when
comparing ^jj+atrb++xvbg+=comparing
salaried ^jj+atrb+++=salaried
employees ^nns+nom+++=employees
with ^in++++=with
and ^cc++++=and
without ^in++++=without
formal ^jj+atrb+++=formal
contracts ^nns++++=contracts
and ^cc+cls+++=and
when ^wrb+who+++=when
comparing ^jj+atrb++xvbg+=comparing
entrepreneurs ^nns++++=entrepreneurs
with ^in++++=with
or ^cc++++=or
without ^in++++=without
Cnpj ^np+++??+=CNPJ
registration ^nn+nom+++=registration.
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
Corseuil ^np+++??+=Corseuil
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2021)
2021 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
identified ^xvbn+++xvbn+=identified
that ^dt+dem+++=that
the ^ati++++=the
current ^jj+atrb+++=current
crisis ^nn++++=crisis
disproportionately ^rb++++=disproportionately
affected ^jj+atrb++xvbn+=affected
informal ^jj+atrb+++=informal
employment ^nn+nom+++=employment,
, ^zz++++=EXTRAWORD
with ^in++++=with
their ^pp$+pp3+++=their
findings ^nns++++=findings
indicating ^vb+vprv++xvbg+=indicating
that ^tht+vcmp+++=that
more ^rbr++++=more
vulnerable ^jj+atrb+++=vulnerable
worker ^nn++++=worker
groups ^nns++++=groups
are ^vb+ber+aux++=are
overrepresented ^vpsv++agls+xvbnx+=overrepresented
in ^in++++=in
informal ^jj+atrb+++=informal
sectors ^nns++++=sectors,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
substantial ^jj+atrb+++=substantial
negative ^jj+atrb+++=negative
implications ^nns+nom+++=implications
for ^in++++=for
equity ^nn++++=equity.
. ^zz++++=EXTRAWORD
Al ^&fw++++=Al
Masri ^np+++??+=Masri
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2021)
2021 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=reported
that ^tht+vcmp+++=that
the ^ati++++=the
largest ^jjt+atrb+++=largest
reductions ^nns+nom+++=reductions
in ^in++++=in
employment ^nn+nom+++=employment
during ^in++++=during
the ^ati++++=the
second ^od++++=second
and ^cc++++=and
third ^od++++=third
quarters ^nns+nom+++=quarters
of ^in++++=of
2020 ^cd++++=2020
occurred ^vprf+++xvbn+=occurred
among ^in++++=among
informal ^jj++++=informal,
, ^zz++++=EXTRAWORD
self ^nn++++=self-employed,
- ^zz++++=EXTRAWORD
employed ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
younger ^jjr+atrb+++=younger
workers ^nns+nom+++=workers;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
also ^rb++++=also
observed ^vbn+vprv++xvbn+=observed
that ^tht+vcmp+++=that
workforce ^nn+++??+=workforce
outflow ^nn+++??+=outflow
among ^in++++=among
men ^nns++++=men
began ^vbd+++xvbn+=began
to ^to++++=to
decline ^vbi++++=decline
in ^in++++=in
the ^ati++++=the
third ^nn++++=third
quarter ^nn++++=quarter,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
it ^pp3+it+++=it
continued ^vbd+++xvbn+=continued
to ^to++++=to
rise ^vbi++++=rise
for ^in++++=for
women ^nns++++=women,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
industries ^nns++++=industries
requiring ^vwbg+vsua++xvbg+=requiring
higher ^jjr+atrb+++=higher
levels ^nns++++=levels
of ^in++++=of
physical ^jj+atrb+++=physical
contact ^nn++++=contact
experienced ^vbd+++xvbn+=experienced
the ^ati++++=the
most ^ql+emph+++=most
significant ^jj+atrb+++=significant
job ^nn++++=job
losses ^nns++++=losses.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
none ^pn++++=none
of ^in++++=of
these ^dt+dem+++=these
studies ^nns++++=studies
specifically ^rb++++=specifically
examined ^jj+atrb+++=examined
remote ^jj+atrb+++=remote
work ^nn++++=work
or ^cc++++=or
its ^pp$+it+++=its
determinants ^nns+nom+++=determinants.
. ^zz++++=EXTRAWORD
